ENSCPRP00005011341	ENSCPRG00005007974	crocodylus_porosus
ENSCJPP00005017116	ENSCJPG00005014004	coturnix_japonica
ENSGALP00000021608	ENSGALG00000013253	gallus_gallus
ENSPSTP00000010359	ENSPSTG00000007294	pavo_cristatus
ENSMGAP00000014987	ENSMGAG00000014168	meleagris_gallopavo
ENSNMEP00000005721	ENSNMEG00000005915	numida_meleagris
ENSABRP00000024431	ENSABRG00000020502	anser_brachyrhynchus
ENSAPLP00020021901	ENSAPLG00020014732	anas_platyrhynchos
ENSAZOP00000001191	ENSAZOG00000000501	anas_zonorhyncha
ENSCMMP00000011058	ENSCMMG00000006976	cairina_moschata_domestica
ENSGFOP00000018273	ENSGFOG00000012363	geospiza_fortis
ENSCPVP00000015448	ENSCPVG00000011028	camarhynchus_parvulus
ENSZALP00000008583	ENSZALG00000007295	zonotrichia_albicollis
ENSJHYP00000014994	ENSJHYG00000011557	junco_hyemalis
ENSLCOP00000008414	ENSLCOG00000006162	lepidothrix_coronata
ENSMCSP00000004544	ENSMCSG00000003204	malurus_cyaneus_samueli
ENSPMJP00000012898	ENSPMJG00000009879	parus_major
ENSSCAP00000002495	ENSSCAG00000002025	serinus_canaria
ENSTGUP00000017650	ENSTGUG00000017369	taeniopygia_guttata
ENSCUSP00005010220	ENSCUSG00005006461	catharus_ustulatus
ENSCRFP00000000298	ENSCRFG00000000245	stachyris_ruficeps
ENSZLMP00000003054	ENSZLMG00000002215	zosterops_lateralis_melanops
ENSEGOP00005015283	ENSEGOG00005012418	erythrura_gouldiae
ENSLSDP00000023124	ENSLSDG00000016277	lonchura_striata_domestica
ENSFALP00000003243	ENSFALG00000003067	ficedula_albicollis
ENSCPUP00000026979	ENSCPUG00000018079	calidris_pugnax
ENSSHBP00005019885	ENSSHBG00005016997	strigops_habroptila
ENSANIP00000020908	ENSANIG00000014190	accipiter_nisus
ENSBJAP00000023501	ENSBJAG00000015183	buteo_japonicus
ENSACCP00020002542	ENSACCG00020001697	aquila_chrysaetos_chrysaetos
ENSFTIP00000008351	ENSFTIG00000005533	falco_tinnunculus
ENSOSUP00000011770	ENSOSUG00000008464	otus_sunia
ENSSOCP00000017908	ENSSOCG00000013446	strix_occidentalis_caurina
ENSAHAP00000000296	ENSAHAG00000000295	apteryx_haastii
ENSMUNP00000001525	ENSMUNG00000001303	melopsittacus_undulatus
ENSACOP00000005803	ENSACOG00000004077	amazona_collaria
ENSBOBP00000022943	ENSBOBG00000013752	bubo_bubo
ENSAPLP00000030475	ENSAPLG00000024003	anas_platyrhynchos_platyrhynchos
ENSACDP00005010661	ENSACDG00005007766	anser_cygnoides
ENSCMUP00000016339	ENSCMUG00000010141	corvus_moneduloides
