ENSPMAP00000009441	ENSPMAG00000008570	petromyzon_marinus
ENSLACP00000008032	ENSLACG00000007108	latimeria_chalumnae
ENSSPUP00000014951	ENSSPUG00000011330	sphenodon_punctatus
ENSACAP00000008063	ENSACAG00000008089	anolis_carolinensis
ENSPMRP00000020294	ENSPMRG00000013211	podarcis_muralis
ENSSMRP00000028926	ENSSMRG00000022269	salvator_merianae
ENSPVIP00000005366	ENSPVIG00000004357	pogona_vitticeps
ENSLLTP00000008644	ENSLLTG00000005827	laticauda_laticaudata
ENSPTXP00000022514	ENSPTXG00000015585	pseudonaja_textilis
ENSNSUP00000003624	ENSNSUG00000002935	notechis_scutatus
ENSNNAP00000010899	ENSNNAG00000004949	naja_naja
ENSVKKP00000027389	ENSVKKG00000017819	varanus_komodoensis
ENSCSRP00000020874	ENSCSRG00000015823	chelydra_serpentina
ENSTMTP00000007121	ENSTMTG00000004192	terrapene_carolina_triunguis
ENSCPBP00000027647	ENSCPBG00000019537	chrysemys_picta_bellii
ENSGEVP00005012156	ENSGEVG00005008591	gopherus_evgoodei
ENSGAGP00000036340	ENSGAGG00000025684	gopherus_agassizii
ENSCABP00000028532	ENSCABG00000020966	chelonoidis_abingdonii
ENSPSIP00000016957	ENSPSIG00000015104	pelodiscus_sinensis
ENSPCEP00000023678	ENSPCEG00000017714	pelusios_castaneus
ENSCPRP00005025445	ENSCPRG00005017652	crocodylus_porosus
ENSZLMP00000008947	ENSZLMG00000006303	zosterops_lateralis_melanops
ENSCRFP00000006679	ENSCRFG00000005298	stachyris_ruficeps
ENSCCEP00000008803	ENSCCEG00000008998	cyanistes_caeruleus
ENSPMJP00000012651	ENSPMJG00000009712	parus_major
ENSCUSP00005015895	ENSCUSG00005010213	catharus_ustulatus
ENSTGUP00000008956	ENSTGUG00000008636	taeniopygia_guttata
ENSLSDP00000015480	ENSLSDG00000011143	lonchura_striata_domestica
ENSEGOP00005005409	ENSEGOG00005004216	erythrura_gouldiae
ENSMCSP00000021820	ENSMCSG00000015222	malurus_cyaneus_samueli
ENSSCAP00000010747	ENSSCAG00000008094	serinus_canaria
ENSCPVP00000016998	ENSCPVG00000012450	camarhynchus_parvulus
ENSGFOP00000019619	ENSGFOG00000013193	geospiza_fortis
ENSFALP00000010789	ENSFALG00000010333	ficedula_albicollis
ENSJHYP00000017070	ENSJHYG00000013043	junco_hyemalis
ENSZALP00000006241	ENSZALG00000005728	zonotrichia_albicollis
ENSCMUP00000000697	ENSCMUG00000000524	corvus_moneduloides
ENSMVIP00005017053	ENSMVIG00005012190	manacus_vitellinus
ENSLCOP00000020330	ENSLCOG00000013562	lepidothrix_coronata
ENSSHBP00005020942	ENSSHBG00005017772	strigops_habroptila
ENSACOP00000001950	ENSACOG00000001396	amazona_collaria
ENSMUNP00000010517	ENSMUNG00000006405	melopsittacus_undulatus
ENSBJAP00000011952	ENSBJAG00000003299	buteo_japonicus
ENSACCP00020012130	ENSACCG00020008027	aquila_chrysaetos_chrysaetos
ENSOSUP00000018981	ENSOSUG00000013379	otus_sunia
ENSBOBP00000007996	ENSBOBG00000005225	bubo_bubo
ENSSOCP00000006122	ENSSOCG00000004665	strix_occidentalis_caurina
ENSACUP00000017754	ENSACUG00000011916	athene_cunicularia
ENSFTIP00000001838	ENSFTIG00000001311	falco_tinnunculus
ENSCPGP00000019366	ENSCPGG00000013564	calidris_pygmaea
ENSCPUP00000027926	ENSCPUG00000018808	calidris_pugnax
ENSCJPP00005026534	ENSCJPG00005020642	coturnix_japonica
ENSMGAP00000009540	ENSMGAG00000009164	meleagris_gallopavo
ENSGALP00000056946	ENSGALG00000040651	gallus_gallus
ENSPCLP00000005897	ENSPCLG00000004965	phasianus_colchicus
ENSCPIP00010002814	ENSCPIG00010002170	chrysolophus_pictus
ENSPSTP00000005991	ENSPSTG00000004213	pavo_cristatus
ENSNMEP00000027634	ENSNMEG00000023125	numida_meleagris
ENSAZOP00000027124	ENSAZOG00000017227	anas_zonorhyncha
ENSAPLP00020020257	ENSAPLG00020014273	anas_platyrhynchos
ENSAPLP00000008278	ENSAPLG00000008504	anas_platyrhynchos_platyrhynchos
ENSCMMP00000011413	ENSCMMG00000007225	cairina_moschata_domestica
ENSABRP00000011155	ENSABRG00000010013	anser_brachyrhynchus
ENSACDP00005016727	ENSACDG00005012246	anser_cygnoides
ENSPSTP00000012949	ENSPSTG00000009109	pavo_cristatus
