ENSPCAP00000005249	ENSPCAG00000005531	procavia_capensis
ENSLAFP00000014901	ENSLAFG00000017768	loxodonta_africana
ENSCHOP00000008266	ENSCHOG00000009331	choloepus_hoffmanni
ENSEASP00005024121	ENSEASG00005016370	equus_asinus_asinus
ENSECAP00000046536	ENSECAG00000010591	equus_caballus
ENSOARP00000021877	ENSOARG00000020370	ovis_aries
ENSTTRP00000002621	ENSTTRG00000002795	tursiops_truncatus
ENSPCTP00005026248	ENSPCTG00005018769	physeter_catodon
ENSPVAP00000015433	ENSPVAG00000016352	pteropus_vampyrus
ENSUAMP00000031281	ENSUAMG00000024003	ursus_americanus
ENSAMEP00000017656	ENSAMEG00000016723	ailuropoda_melanoleuca
ENSPPRP00000020662	ENSPPRG00000011716	panthera_pardus
ENSETEP00000015339	ENSETEG00000018874	echinops_telfairi
ENSPSMP00000007991	ENSPSMG00000005884	prolemur_simus
ENSPCOP00000023987	ENSPCOG00000024144	propithecus_coquereli
ENSMICP00000028149	ENSMICG00000015875	microcebus_murinus
ENSOGAP00000011524	ENSOGAG00000012850	otolemur_garnettii
ENSTSYP00000020982	ENSTSYG00000027024	carlito_syrichta
ENSANAP00000020641	ENSANAG00000028095	aotus_nancymaae
ENSCCAP00000023302	ENSCCAG00000029407	cebus_capucinus
ENSSBOP00000007837	ENSSBOG00000020788	saimiri_boliviensis_boliviensis
ENSCJAP00000038563	ENSCJAG00000020723	callithrix_jacchus
ENSNLEP00000004485	ENSNLEG00000003650	nomascus_leucogenys
ENSPPYP00000007222	ENSPPYG00000006376	pongo_abelii
ENSP00000263800	ENSG00000062524	homo_sapiens
ENSPTRP00000011852	ENSPTRG00000006948	pan_troglodytes
ENSPPAP00000020735	ENSPPAG00000033570	pan_paniscus
ENSGGOP00000006861	ENSGGOG00000007006	gorilla_gorilla
ENSCSAP00000004014	ENSCSAG00000007780	chlorocebus_sabaeus
ENSMFAP00000023170	ENSMFAG00000043219	macaca_fascicularis
ENSMMUP00000010695	ENSMMUG00000008170	macaca_mulatta
ENSMNEP00000009268	ENSMNEG00000029031	macaca_nemestrina
ENSCATP00000045072	ENSCATG00000044974	cercocebus_atys
ENSMLEP00000014254	ENSMLEG00000031226	mandrillus_leucophaeus
ENSPANP00000016406	ENSPANG00000018808	papio_anubis
ENSRBIP00000041658	ENSRBIG00000044144	rhinopithecus_bieti
ENSRROP00000017652	ENSRROG00000032911	rhinopithecus_roxellana
ENSCANP00000001589	ENSCANG00000005811	colobus_angolensis_palliatus
ENSPTEP00000005135	ENSPTEG00000005971	piliocolobus_tephrosceles
ENSOPRP00000015102	ENSOPRG00000016526	ochotona_princeps
ENSOCUP00000028681	ENSOCUG00000026867	oryctolagus_cuniculus
ENSCCNP00000011401	ENSCCNG00000011580	castor_canadensis
ENSDORP00000000474	ENSDORG00000000509	dipodomys_ordii
MGP_PahariEiJ_P0064858	MGP_PahariEiJ_G0025594	mus_pahari
ENSMUSP00000028759	ENSMUSG00000027297	mus_musculus
ENSMSIP00000032044	ENSMSIG00000026736	mus_spicilegus
MGP_SPRETEiJ_P0055976	MGP_SPRETEiJ_G0025068	mus_spretus
MGP_CAROLIEiJ_P0053878	MGP_CAROLIEiJ_G0024152	mus_caroli
ENSRNOP00000030962	ENSRNOG00000025130	rattus_norvegicus
ENSMUGP00000011179	ENSMUGG00000009642	meriones_unguiculatus
ENSMAUP00000002328	ENSMAUG00000001802	mesocricetus_auratus
ENSCGRP00000009022	ENSCGRG00000006588	cricetulus_griseus_crigri
ENSCGRP00015031801	ENSCGRG00015023882	cricetulus_griseus_picr
ENSCGRP00001009874	ENSCGRG00001011862	cricetulus_griseus_chok1gshd
ENSMOCP00000004718	ENSMOCG00000004001	microtus_ochrogaster
ENSPEMP00000002877	ENSPEMG00000003535	peromyscus_maniculatus_bairdii
ENSNGAP00000020498	ENSNGAG00000019974	nannospalax_galili
ENSJJAP00000023141	ENSJJAG00000022989	jaculus_jaculus
ENSCLAP00000015020	ENSCLAG00000010352	chinchilla_lanigera
ENSHGLP00100009189	ENSHGLG00100006815	heterocephalus_glaber_male
ENSHGLP00000018368	ENSHGLG00000013166	heterocephalus_glaber_female
ENSFDAP00000008400	ENSFDAG00000016683	fukomys_damarensis
ENSCAPP00000013914	ENSCAPG00000014423	cavia_aperea
ENSCPOP00000002564	ENSCPOG00000002819	cavia_porcellus
ENSSVLP00005001360	ENSSVLG00005001009	sciurus_vulgaris
ENSSDAP00000023131	ENSSDAG00000020997	spermophilus_dauricus
ENSUPAP00010018409	ENSUPAG00010014610	urocitellus_parryii
ENSSTOP00000007522	ENSSTOG00000008387	ictidomys_tridecemlineatus
ENSMMMP00000023426	ENSMMMG00000020501	marmota_marmota_marmota
ENSTBEP00000005410	ENSTBEG00000006236	tupaia_belangeri
ENSSHAP00000020271	ENSSHAG00000017193	sarcophilus_harrisii
ENSMEUP00000002278	ENSMEUG00000002477	notamacropus_eugenii
ENSVURP00010010013	ENSVURG00010007696	vombatus_ursinus
ENSPCIP00000037738	ENSPCIG00000027760	phascolarctos_cinereus
ENSMODP00000000128	ENSMODG00000000117	monodelphis_domestica
