ENSPSTP00000011184	ENSPSTG00000007668	pavo_cristatus
ENSGALP00000007542	ENSGALG00000021567	gallus_gallus
ENSMGAP00000006715	ENSMGAG00000006467	meleagris_gallopavo
ENSCPIP00010000444	ENSCPIG00010000359	chrysolophus_pictus
ENSPCLP00000021453	ENSPCLG00000018807	phasianus_colchicus
ENSCJPP00005007423	ENSCJPG00005006840	coturnix_japonica
ENSNMEP00000020318	ENSNMEG00000017449	numida_meleagris
ENSAZOP00000027489	ENSAZOG00000017425	anas_zonorhyncha
ENSAPLP00000002680	ENSAPLG00000003107	anas_platyrhynchos_platyrhynchos
ENSAPLP00020023839	ENSAPLG00020016524	anas_platyrhynchos
ENSCMMP00000007474	ENSCMMG00000004763	cairina_moschata_domestica
ENSABRP00000024960	ENSABRG00000020916	anser_brachyrhynchus
ENSACDP00005012223	ENSACDG00005009007	anser_cygnoides
ENSACUP00000021657	ENSACUG00000014473	athene_cunicularia
ENSBOBP00000008484	ENSBOBG00000005502	bubo_bubo
ENSOSUP00000022783	ENSOSUG00000015646	otus_sunia
ENSSOCP00000010197	ENSSOCG00000007693	strix_occidentalis_caurina
ENSACCP00020015296	ENSACCG00020010483	aquila_chrysaetos_chrysaetos
ENSBJAP00000015933	ENSBJAG00000010538	buteo_japonicus
ENSANIP00000012009	ENSANIG00000008121	accipiter_nisus
ENSFTIP00000016565	ENSFTIG00000010965	falco_tinnunculus
ENSCPUP00000029754	ENSCPUG00000019926	calidris_pugnax
ENSCPGP00000006424	ENSCPGG00000004625	calidris_pygmaea
ENSMUNP00000021555	ENSMUNG00000016264	melopsittacus_undulatus
ENSSHBP00005006582	ENSSHBG00005005763	strigops_habroptila
ENSACOP00000009377	ENSACOG00000006509	amazona_collaria
ENSCRFP00000010156	ENSCRFG00000007873	stachyris_ruficeps
ENSZLMP00000006379	ENSZLMG00000004499	zosterops_lateralis_melanops
ENSCPVP00000016896	ENSCPVG00000012365	camarhynchus_parvulus
ENSGFOP00000015052	ENSGFOG00000010278	geospiza_fortis
ENSJHYP00000020801	ENSJHYG00000015731	junco_hyemalis
ENSZALP00000013292	ENSZALG00000011067	zonotrichia_albicollis
ENSEGOP00005019298	ENSEGOG00005015391	erythrura_gouldiae
ENSLSDP00000021207	ENSLSDG00000015006	lonchura_striata_domestica
ENSTGUP00000017527	ENSTGUG00000017239	taeniopygia_guttata
ENSSCAP00000022873	ENSSCAG00000016406	serinus_canaria
ENSCMUP00000001098	ENSCMUG00000000789	corvus_moneduloides
ENSPMJP00000003228	ENSPMJG00000002838	parus_major
ENSCCEP00000016687	ENSCCEG00000015575	cyanistes_caeruleus
ENSCUSP00005009991	ENSCUSG00005006331	catharus_ustulatus
ENSFALP00000010843	ENSFALG00000010366	ficedula_albicollis
ENSMCSP00000016825	ENSMCSG00000011766	malurus_cyaneus_samueli
ENSLCOP00000011359	ENSLCOG00000008239	lepidothrix_coronata
ENSMVIP00005003348	ENSMVIG00005002618	manacus_vitellinus
ENSDNVP00000023040	ENSDNVG00000016001	dromaius_novaehollandiae
ENSSCUP00000006362	ENSSCUG00000004712	struthio_camelus_australis
ENSAHAP00000022822	ENSAHAG00000015980	apteryx_haastii
ENSAOWP00000017522	ENSAOWG00000011969	apteryx_owenii
ENSARWP00000001112	ENSARWG00000000651	apteryx_rowi
ENSNPEP00000005806	ENSNPEG00000004387	nothoprocta_perdicaria
ENSCPRP00005021233	ENSCPRG00005014753	crocodylus_porosus
ENSPCEP00000017593	ENSPCEG00000013791	pelusios_castaneus
ENSPSIP00000017865	ENSPSIG00000015815	pelodiscus_sinensis
ENSGEVP00005026657	ENSGEVG00005018910	gopherus_evgoodei
ENSGAGP00000010380	ENSGAGG00000008135	gopherus_agassizii
ENSCABP00000019955	ENSCABG00000014718	chelonoidis_abingdonii
ENSCPBP00000013867	ENSCPBG00000010342	chrysemys_picta_bellii
ENSTMTP00000031097	ENSTMTG00000022349	terrapene_carolina_triunguis
ENSCSRP00000020611	ENSCSRG00000015554	chelydra_serpentina
ENSVKKP00000023732	ENSVKKG00000015669	varanus_komodoensis
ENSSPUP00000021823	ENSSPUG00000016674	sphenodon_punctatus
ENSPMRP00000013283	ENSPMRG00000008889	podarcis_muralis
ENSSMRP00000011184	ENSSMRG00000008717	salvator_merianae
ENSNSUP00000002907	ENSNSUG00000002394	notechis_scutatus
ENSPTXP00000018721	ENSPTXG00000012907	pseudonaja_textilis
ENSPTXP00000018720	ENSPTXG00000012906	pseudonaja_textilis
ENSLLTP00000013009	ENSLLTG00000007214	laticauda_laticaudata
ENSACAP00000014651	ENSACAG00000014526	anolis_carolinensis
ENSPVIP00000016106	ENSPVIG00000012457	pogona_vitticeps
ENSNSUP00000005132	ENSNSUG00000004117	notechis_scutatus
ENSPTXP00000024165	ENSPTXG00000016787	pseudonaja_textilis
ENSLLTP00000023966	ENSLLTG00000017661	laticauda_laticaudata
ENSVKKP00000022176	ENSVKKG00000014801	varanus_komodoensis
ENSSHAP00000017171	ENSSHAG00000014595	sarcophilus_harrisii
ENSMEUP00000002055	ENSMEUG00000002244	notamacropus_eugenii
ENSVURP00010030815	ENSVURG00010023568	vombatus_ursinus
ENSPCIP00000035760	ENSPCIG00000026424	phascolarctos_cinereus
ENSMODP00000020106	ENSMODG00000016101	monodelphis_domestica
ENSSDAP00000011319	ENSSDAG00000010210	spermophilus_dauricus
ENSMLUP00000002845	ENSMLUG00000003124	myotis_lucifugus
ENSPCTP00005018175	ENSPCTG00005012907	physeter_catodon
ENSSARP00000002445	ENSSARG00000002697	sorex_araneus
ENSPVAP00000008136	ENSPVAG00000008617	pteropus_vampyrus
ENSRFEP00010001223	ENSRFEG00010000905	rhinolophus_ferrumequinum
ENSEEUP00000003474	ENSEEUG00000003796	erinaceus_europaeus
ENSSSCP00000003824	ENSSSCG00000003523	sus_scrofa
ENSCWAP00000018488	ENSCWAG00000014139	catagonus_wagneri
ENSCDRP00005020638	ENSCDRG00005014357	camelus_dromedarius
ENSCHYP00000011053	ENSCHYG00000007086	cervus_hanglu_yarkandensis
ENSBBBP00000006746	ENSBBBG00000003724	bison_bison_bison
