ENSOANP00000039140	ENSOANG00000029096	ornithorhynchus_anatinus
ENSCHOP00000003023	ENSCHOG00000003406	choloepus_hoffmanni
ENSDNOP00000030698	ENSDNOG00000016895	dasypus_novemcinctus
ENSPTIP00000025491	ENSPTIG00000021238	panthera_tigris_altaica
ENSVVUP00000015526	ENSVVUG00000011385	vulpes_vulpes
ENSUMAP00000005635	ENSUMAG00000004366	ursus_maritimus
ENSNVIP00000008482	ENSNVIG00000006193	neovison_vison
ENSBBBP00000001256	ENSBBBG00000010374	bison_bison_bison
ENSBIXP00000007016	ENSBIXG00000013048	bos_taurus_hybrid
ENSBGRP00000037238	ENSBGRG00000023230	bos_grunniens
ENSPSNP00000030940	ENSPSNG00000022313	phocoena_sinus
ENSCDRP00005020725	ENSCDRG00005014046	camelus_dromedarius
ENSTSYP00000019407	ENSTSYG00000035045	carlito_syrichta
ENSPCOP00000030338	ENSPCOG00000027873	propithecus_coquereli
ENSCAPP00000001602	ENSCAPG00000003115	cavia_aperea
ENSCLAP00000001271	ENSCLAG00000000970	chinchilla_lanigera
ENSODEP00000024224	ENSODEG00000017727	octodon_degus
ENSHGLP00000015666	ENSHGLG00000011201	heterocephalus_glaber_female
ENSHGLP00100015253	ENSHGLG00100011282	heterocephalus_glaber_male
ENSFDAP00000010657	ENSFDAG00000018458	fukomys_damarensis
ENSPEMP00000014799	ENSPEMG00000014436	peromyscus_maniculatus_bairdii
ENSCGRP00001015345	ENSCGRG00001015969	cricetulus_griseus_chok1gshd
ENSCGRP00015029996	ENSCGRG00015022488	cricetulus_griseus_picr
ENSMUGP00000011169	ENSMUGG00000009758	meriones_unguiculatus
MGP_SPRETEiJ_P0086121	MGP_SPRETEiJ_G0031669	mus_spretus
ENSMUSP00000112430	ENSMUSG00000030849	mus_musculus
MGP_CAROLIEiJ_P0082706	MGP_CAROLIEiJ_G0030555	mus_caroli
MGP_PahariEiJ_P0019499	MGP_PahariEiJ_G0013762	mus_pahari
ENSNGAP00000017436	ENSNGAG00000017837	nannospalax_galili
ENSCCNP00000014158	ENSCCNG00000014531	castor_canadensis
ENSANAP00000028028	ENSANAG00000030066	aotus_nancymaae
ENSSBOP00000005442	ENSSBOG00000016345	saimiri_boliviensis_boliviensis
ENSCCAP00000022112	ENSCCAG00000028642	cebus_capucinus
ENSNLEP00000020533	ENSNLEG00000016854	nomascus_leucogenys
ENSRROP00000017546	ENSRROG00000032645	rhinopithecus_roxellana
ENSCANP00000019014	ENSCANG00000032924	colobus_angolensis_palliatus
ENSCSAP00000001011	ENSCSAG00000004685	chlorocebus_sabaeus
ENSCATP00000028627	ENSCATG00000037271	cercocebus_atys
ENSPANP00000023290	ENSPANG00000020505	papio_anubis
ENSMLEP00000007127	ENSMLEG00000027189	mandrillus_leucophaeus
ENSMMMP00000001121	ENSMMMG00000000986	marmota_marmota_marmota
ENSSTOP00000003568	ENSSTOG00000003979	ictidomys_tridecemlineatus
ENSUPAP00010008002	ENSUPAG00010006384	urocitellus_parryii
ENSSDAP00000024277	ENSSDAG00000022072	spermophilus_dauricus
ENSDORP00000016679	ENSDORG00000005639	dipodomys_ordii
ENSCPOP00000027104	ENSCPOG00000008833	cavia_porcellus
ENSJJAP00000008910	ENSJJAG00000012859	jaculus_jaculus
ENSPPYP00000003165	ENSPPYG00000002710	pongo_abelii
ENSUMAP00000005512	ENSUMAG00000004111	ursus_maritimus
ENSCHIP00010019194	ENSCHIG00010013881	capra_hircus_blackbengal
ENSPTIP00000005966	ENSPTIG00000007977	panthera_tigris_altaica
ENSPPRP00000026270	ENSPPRG00000017103	panthera_pardus
ENSPPRP00000020375	ENSPPRG00000011499	panthera_pardus
ENSLAFP00000029245	ENSLAFG00000009269	loxodonta_africana
ENSPCAP00000010614	ENSPCAG00000011330	procavia_capensis
ENSSARP00000003428	ENSSARG00000003756	sorex_araneus
ENSEEUP00000003676	ENSEEUG00000004024	erinaceus_europaeus
ENSCHIP00010018899	ENSCHIG00010013863	capra_hircus_blackbengal
ENSUAMP00000022541	ENSUAMG00000017700	ursus_americanus
ENSUTTP00000002050	ENSUTTG00000001221	ursus_thibetanus_thibetanus
ENSVPAP00000006061	ENSVPAG00000006520	vicugna_pacos
ENSCWAP00000023325	ENSCWAG00000013844	catagonus_wagneri
ENSSSCP00000030305	ENSSSCG00000010698	sus_scrofa
ENSBMSP00010017542	ENSBMSG00010012623	balaenoptera_musculus
ENSPCTP00005031373	ENSPCTG00005022152	physeter_catodon
ENSDLEP00000011058	ENSDLEG00000008001	delphinapterus_leucas
ENSMMNP00015028486	ENSMMNG00015020685	monodon_monoceros
ENSTTRP00000002030	ENSTTRG00000002160	tursiops_truncatus
ENSCHYP00000014230	ENSCHYG00000008730	cervus_hanglu_yarkandensis
ENSOARP00000005775	ENSOARG00000005375	ovis_aries
ENSOARP00020023897	ENSOARG00020018761	ovis_aries_rambouillet
ENSCHIP00000018620	ENSCHIG00000017963	capra_hircus
ENSBTAP00000059738	ENSBTAG00000014064	bos_taurus
ENSBIXP00005017349	ENSBIXG00005003546	bos_indicus_hybrid
ENSBMUP00000020345	ENSBMUG00000015331	bos_mutus
ENSMMSP00000021617	ENSMMSG00000016023	moschus_moschiferus
ENSECAP00000050060	ENSECAG00000013960	equus_caballus
ENSEASP00005021075	ENSEASG00005014428	equus_asinus_asinus
ENSRFEP00010017298	ENSRFEG00010011408	rhinolophus_ferrumequinum
ENSPVAP00000000682	ENSPVAG00000000720	pteropus_vampyrus
ENSAMEP00000011659	ENSAMEG00000010959	ailuropoda_melanoleuca
ENSZCAP00015039592	ENSZCAG00015024733	zalophus_californianus
ENSMPUP00000002959	ENSMPUG00000002989	mustela_putorius_furo
ENSCAFP00020018561	ENSCAFG00020014779	canis_lupus_dingo
ENSCAFP00030036524	ENSCAFG00030022775	canis_lupus_familiarisbasenji
ENSCAFP00040041933	ENSCAFG00040025720	canis_lupus_familiarisgreatdane
ENSCAFP00000061374	ENSCAFG00000012374	canis_lupus_familiaris
ENSSSUP00005002860	ENSSSUG00005001684	suricata_suricatta
ENSPLOP00000029189	ENSPLOG00000020164	panthera_leo
ENSFCAP00000060262	ENSFCAG00000003692	felis_catus
ENSLCNP00005020885	ENSLCNG00005013616	lynx_canadensis
ENSETEP00000008959	ENSETEG00000011043	echinops_telfairi
ENSOCUP00000034244	ENSOCUG00000007069	oryctolagus_cuniculus
ENSMLUP00000021470	ENSMLUG00000027977	myotis_lucifugus
ENSTBEP00000012491	ENSTBEG00000014396	tupaia_belangeri
ENSMICP00000029196	ENSMICG00000000424	microcebus_murinus
ENSPSMP00000014798	ENSPSMG00000009785	prolemur_simus
ENSOGAP00000010920	ENSOGAG00000012206	otolemur_garnettii
ENSPTRP00000005308	ENSPTRG00000003003	pan_troglodytes
ENSPPAP00000023314	ENSPPAG00000034123	pan_paniscus
ENSP00000410294	ENSG00000066468	homo_sapiens
ENSGGOP00000008150	ENSGGOG00000008336	gorilla_gorilla
ENSTGEP00000035340	ENSTGEG00000027963	theropithecus_gelada
ENSMNEP00000035876	ENSMNEG00000040871	macaca_nemestrina
ENSMFAP00000000798	ENSMFAG00000045752	macaca_fascicularis
ENSMMUP00000048184	ENSMMUG00000009594	macaca_mulatta
