ENSLACP00000004383	ENSLACG00000003897	latimeria_chalumnae
ENSLLEP00000006179	ENSLLEG00000003906	leptobrachium_leishanense
ENSXETP00000082119	ENSXETG00000021049	xenopus_tropicalis
ENSOANP00000006034	ENSOANG00000003803	ornithorhynchus_anatinus
ENSEEUP00000011516	ENSEEUG00000012595	erinaceus_europaeus
ENSSARP00000005180	ENSSARG00000005676	sorex_araneus
ENSMLUP00000002221	ENSMLUG00000002438	myotis_lucifugus
ENSRFEP00010006085	ENSRFEG00010004158	rhinolophus_ferrumequinum
ENSPVAP00000007615	ENSPVAG00000008064	pteropus_vampyrus
ENSVVUP00000016557	ENSVVUG00000012188	vulpes_vulpes
ENSCAFP00020001944	ENSCAFG00020001613	canis_lupus_dingo
ENSCAFP00040025147	ENSCAFG00040015724	canis_lupus_familiarisgreatdane
ENSCAFP00030030471	ENSCAFG00030018961	canis_lupus_familiarisbasenji
ENSCAFP00000003042	ENSCAFG00000002065	canis_lupus_familiaris
ENSAMEP00000019452	ENSAMEG00000018372	ailuropoda_melanoleuca
ENSUMAP00000007146	ENSUMAG00000003838	ursus_maritimus
ENSUTTP00000031432	ENSUTTG00000020236	ursus_thibetanus_thibetanus
ENSUAMP00000018877	ENSUAMG00000014061	ursus_americanus
ENSZCAP00015014725	ENSZCAG00015009406	zalophus_californianus
ENSNVIP00000017971	ENSNVIG00000014054	neovison_vison
ENSMPUP00000006063	ENSMPUG00000006114	mustela_putorius_furo
ENSPLOP00000005163	ENSPLOG00000003794	panthera_leo
ENSPPRP00000010879	ENSPPRG00000004930	panthera_pardus
ENSPTIP00000017664	ENSPTIG00000015998	panthera_tigris_altaica
ENSFCAP00000002867	ENSFCAG00000003112	felis_catus
ENSLCNP00005004866	ENSLCNG00005003285	lynx_canadensis
ENSSSUP00005007703	ENSSSUG00005005001	suricata_suricatta
ENSCDRP00005002963	ENSCDRG00005002100	camelus_dromedarius
ENSVPAP00000005969	ENSVPAG00000006432	vicugna_pacos
ENSSSCP00000066488	ENSSSCG00000008842	sus_scrofa
ENSCWAP00000019639	ENSCWAG00000014775	catagonus_wagneri
ENSPCTP00005007800	ENSPCTG00005005506	physeter_catodon
ENSDLEP00000020192	ENSDLEG00000014712	delphinapterus_leucas
ENSMMNP00015017836	ENSMMNG00015013144	monodon_monoceros
ENSPSNP00000000302	ENSPSNG00000000276	phocoena_sinus
ENSTTRP00000014574	ENSTTRG00000015378	tursiops_truncatus
ENSBMSP00010002320	ENSBMSG00010001699	balaenoptera_musculus
ENSMMSP00000028315	ENSMMSG00000021225	moschus_moschiferus
ENSCHIP00000025751	ENSCHIG00000022287	capra_hircus
ENSCHIP00010012510	ENSCHIG00010009244	capra_hircus_blackbengal
ENSOARP00020019628	ENSOARG00020015287	ovis_aries_rambouillet
ENSOARP00000000081	ENSOARG00000000078	ovis_aries
ENSBBBP00000024444	ENSBBBG00000009185	bison_bison_bison
ENSBIXP00005003277	ENSBIXG00005009446	bos_indicus_hybrid
ENSBIXP00000022500	ENSBIXG00000005180	bos_taurus_hybrid
ENSBMUP00000027429	ENSBMUG00000020553	bos_mutus
ENSBTAP00000003498	ENSBTAG00000002699	bos_taurus
ENSBGRP00000038441	ENSBGRG00000023915	bos_grunniens
