ENSPKIP00000031173	ENSPKIG00000011764	paramormyrops_kingsleyae
ENSOMYP00000079990	ENSOMYG00000037039	oncorhynchus_mykiss
ENSOKIP00005033989	ENSOKIG00005014537	oncorhynchus_kisutch
ENSHHUP00000047731	ENSHHUG00000028996	hucho_hucho
ENSOKIP00005085347	ENSOKIG00005037132	oncorhynchus_kisutch
ENSOTSP00005057412	ENSOTSG00005027699	oncorhynchus_tshawytscha
ENSOTSP00005054222	ENSOTSG00005026265	oncorhynchus_tshawytscha
ENSSTUP00000037585	ENSSTUG00000016012	salmo_trutta
ENSSSAP00000021604	ENSSSAG00000010681	salmo_salar
ENSPNAP00000018332	ENSPNAG00000024698	pygocentrus_nattereri
ENSAMXP00000054758	ENSAMXG00000043593	astyanax_mexicanus
ENSCHAP00000059092	ENSCHAG00000026525	clupea_harengus
ENSNMLP00000013354	ENSNMLG00000008957	neogobius_melanostomus
ENSCSEP00000007187	ENSCSEG00000004642	cynoglossus_semilaevis
ENSAPOP00000003384	ENSAPOG00000004876	acanthochromis_polyacanthus
ENSOJAP00000004102	ENSOJAG00000002208	oryzias_javanicus
ENSORLP00000041353	ENSORLG00000027698	oryzias_latipes
ENSORLP00020007604	ENSORLG00020008464	oryzias_latipes_hni
ENSORLP00015013420	ENSORLG00015014332	oryzias_latipes_hsok
ENSOSIP00000010889	ENSOSIG00000006617	oryzias_sinensis
ENSFHEP00000000452	ENSFHEG00000001159	fundulus_heteroclitus
ENSXMAP00000009483	ENSXMAG00000009470	xiphophorus_maculatus
ENSMZEP00005002396	ENSMZEG00005001910	maylandia_zebra
ENSACLP00000030467	ENSACLG00000020619	astatotilapia_calliptera
ENSHBUP00000005253	ENSHBUG00000006647	haplochromis_burtoni
ENSONIP00000073168	ENSONIG00000029497	oreochromis_niloticus
ENSATEP00000005856	ENSATEG00000004141	anabas_testudineus
ENSLCAP00010010865	ENSLCAG00010005172	lates_calcarifer
ENSCGOP00000011210	ENSCGOG00000005603	cottoperca_gobio
ENSTRUP00000018118	ENSTRUG00000007335	takifugu_rubripes
ENSAMXP00005025250	ENSAMXG00005012787	astyanax_mexicanus_pachon
ENSECRP00000011645	ENSECRG00000007752	erpetoichthys_calabaricus
T01G5.1.1	WBGene00011339	caenorhabditis_elegans
Y50D4B.6.1	WBGene00021745	caenorhabditis_elegans
W04G5.10.1	WBGene00012270	caenorhabditis_elegans
ZK938.5.1	WBGene00003863	caenorhabditis_elegans
C08H9.5.1	WBGene00003862	caenorhabditis_elegans
R09D1.13.1	WBGene00011169	caenorhabditis_elegans
FBpp0084248	FBgn0022800	drosophila_melanogaster
