ENSSFOP00015074855	ENSSFOG00015021490	scleropages_formosus
ENSPKIP00000011713	ENSPKIG00000018679	paramormyrops_kingsleyae
ENSPNAP00000007125	ENSPNAG00000013051	pygocentrus_nattereri
ENSAMXP00000014810	ENSAMXG00000014388	astyanax_mexicanus
ENSAMXP00005042218	ENSAMXG00005019638	astyanax_mexicanus_pachon
ENSIPUP00000015783	ENSIPUG00000010717	ictalurus_punctatus
ENSEEEP00000008866	ENSEEEG00000004563	electrophorus_electricus
ENSSANP00000017767	ENSSANG00000009258	sinocyclocheilus_anshuiensis
ENSSGRP00000048569	ENSSGRG00000024918	sinocyclocheilus_grahami
ENSSRHP00000022660	ENSSRHG00000011992	sinocyclocheilus_rhinocerous
ENSCCRP00015045147	ENSCCRG00015017206	cyprinus_carpio_huanghe
ENSCCRP00010087090	ENSCCRG00010038025	cyprinus_carpio_germanmirror
ENSCCRP00020033872	ENSCCRG00020015236	cyprinus_carpio_hebaored
ENSSANP00000053437	ENSSANG00000026091	sinocyclocheilus_anshuiensis
ENSSRHP00000034659	ENSSRHG00000017803	sinocyclocheilus_rhinocerous
ENSCCRP00015059369	ENSCCRG00015021895	cyprinus_carpio_huanghe
ENSCCRP00010076211	ENSCCRG00010030467	cyprinus_carpio_germanmirror
ENSCCRP00020078440	ENSCCRG00020036477	cyprinus_carpio_hebaored
ENSCCRP00000036000	ENSCCRG00000019315	cyprinus_carpio
ENSCCRP00000095714	ENSCCRG00000051638	cyprinus_carpio
ENSCARP00000026954	ENSCARG00000012000	carassius_auratus
ENSSGRP00000066655	ENSSGRG00000034242	sinocyclocheilus_grahami
ENSDARP00000093563	ENSDARG00000004635	danio_rerio
ENSCARP00000012958	ENSCARG00000006024	carassius_auratus
ENSCARP00000131930	ENSCARG00000068812	carassius_auratus
ENSCARP00000026982	ENSCARG00000012017	carassius_auratus
ENSCARP00000068217	ENSCARG00000030675	carassius_auratus
ENSCARP00000077873	ENSCARG00000036459	carassius_auratus
ENSCARP00000091103	ENSCARG00000044897	carassius_auratus
ENSCCRP00000086902	ENSCCRG00000047333	cyprinus_carpio
ENSEEEP00000025350	ENSEEEG00000012300	electrophorus_electricus
ENSCHAP00000046530	ENSCHAG00000021393	clupea_harengus
ENSDCDP00000042727	ENSDCDG00000026785	denticeps_clupeoides
ENSDCDP00000029649	ENSDCDG00000019788	denticeps_clupeoides
ENSMZEP00005033611	ENSMZEG00005025129	maylandia_zebra
ENSELUP00000037824	ENSELUG00000017596	esox_lucius
ENSHHUP00000048291	ENSHHUG00000028944	hucho_hucho
ENSSTUP00000099657	ENSSTUG00000041233	salmo_trutta
ENSSSAP00000055494	ENSSSAG00000042905	salmo_salar
ENSOKIP00005028439	ENSOKIG00005009967	oncorhynchus_kisutch
ENSOTSP00005065208	ENSOTSG00005026547	oncorhynchus_tshawytscha
ENSOMYP00000014218	ENSOMYG00000005599	oncorhynchus_mykiss
ENSOKIP00005011171	ENSOKIG00005003305	oncorhynchus_kisutch
ENSOTSP00005035145	ENSOTSG00005013435	oncorhynchus_tshawytscha
ENSOMYP00000089112	ENSOMYG00000038386	oncorhynchus_mykiss
ENSHHUP00000027785	ENSHHUG00000017649	hucho_hucho
ENSSSAP00000077697	ENSSSAG00000053507	salmo_salar
ENSSTUP00000094624	ENSSTUG00000037936	salmo_trutta
ENSSORP00005040973	ENSSORG00005017514	sphaeramia_orbicularis
ENSLCRP00005026751	ENSLCRG00005006440	larimichthys_crocea
ENSDLAP00005018347	ENSDLAG00005008250	dicentrarchus_labrax
ENSMMOP00000019650	ENSMMOG00000014917	mola_mola
ENSSAUP00010010159	ENSSAUG00010004890	sparus_aurata
ENSCGOP00000037395	ENSCGOG00000015338	cottoperca_gobio
ENSSLUP00000045082	ENSSLUG00000018142	sander_lucioperca
ENSAOCP00000029808	ENSAOCG00000020382	amphiprion_ocellaris
ENSAPEP00000002599	ENSAPEG00000001858	amphiprion_percula
ENSAPOP00000013800	ENSAPOG00000016604	acanthochromis_polyacanthus
ENSSPAP00000016403	ENSSPAG00000012336	stegastes_partitus
ENSATEP00000016212	ENSATEG00000011223	anabas_testudineus
ENSBSLP00000052762	ENSBSLG00000024738	betta_splendens
ENSMAMP00000004441	ENSMAMG00000002973	mastacembelus_armatus
ENSMALP00000018600	ENSMALG00000012958	monopterus_albus
ENSNBRP00000016014	ENSNBRG00000011772	neolamprologus_brichardi
ENSPNYP00000022889	ENSPNYG00000017251	pundamilia_nyererei
ENSMZEP00005021261	ENSMZEG00005015956	maylandia_zebra
ENSACLP00000029130	ENSACLG00000019736	astatotilapia_calliptera
ENSHBUP00000009319	ENSHBUG00000010885	haplochromis_burtoni
ENSOABP00000054047	ENSOABG00000023609	oreochromis_aureus
ENSONIP00000042511	ENSONIG00000011317	oreochromis_niloticus
ENSACIP00000030240	ENSACIG00000023399	amphilophus_citrinellus
ENSHCOP00000015920	ENSHCOG00000019631	hippocampus_comes
ENSLCAP00010026110	ENSLCAG00010011456	lates_calcarifer
ENSSMAP00000029824	ENSSMAG00000018269	scophthalmus_maximus
ENSSDUP00000012838	ENSSDUG00000009344	seriola_dumerili
ENSSLDP00000022315	ENSSLDG00000017405	seriola_lalandi_dorsalis
ENSENLP00000037147	ENSENLG00000013877	echeneis_naucrates
ENSMMDP00005035236	ENSMMDG00005016397	myripristis_murdjan
ENSPRNP00000022727	ENSPRNG00000003256	parambassis_ranga
ENSOMEP00000022837	ENSOMEG00000002608	oryzias_melastigma
ENSOJAP00000032996	ENSOJAG00000014690	oryzias_javanicus
ENSOSIP00000026364	ENSOSIG00000013222	oryzias_sinensis
ENSORLP00015012374	ENSORLG00015013270	oryzias_latipes_hsok
ENSORLP00020030755	ENSORLG00020015430	oryzias_latipes_hni
ENSORLP00000022490	ENSORLG00000017959	oryzias_latipes
ENSNFUP00015032411	ENSNFUG00015015243	nothobranchius_furzeri
ENSKMAP00000005782	ENSKMAG00000004306	kryptolebias_marmoratus
ENSCVAP00000012230	ENSCVAG00000014629	cyprinodon_variegatus
ENSFHEP00000025026	ENSFHEG00000006977	fundulus_heteroclitus
ENSPREP00000002535	ENSPREG00000001707	poecilia_reticulata
ENSPMEP00000002425	ENSPMEG00000003478	poecilia_mexicana
ENSPLAP00000009741	ENSPLAG00000012544	poecilia_latipinna
ENSPFOP00000017259	ENSPFOG00000016973	poecilia_formosa
ENSXCOP00000000629	ENSXCOG00000000548	xiphophorus_couchianus
ENSXCOP00000012609	ENSXCOG00000009527	xiphophorus_couchianus
