ENSSPUP00000007995	ENSSPUG00000006164	sphenodon_punctatus
ENSSMRP00000010280	ENSSMRG00000008160	salvator_merianae
ENSPMRP00000029136	ENSPMRG00000018831	podarcis_muralis
ENSPVIP00000012312	ENSPVIG00000009594	pogona_vitticeps
ENSACAP00000007284	ENSACAG00000007222	anolis_carolinensis
ENSVKKP00000004254	ENSVKKG00000003182	varanus_komodoensis
ENSNSUP00000011488	ENSNSUG00000008664	notechis_scutatus
ENSLLTP00000004860	ENSLLTG00000003705	laticauda_laticaudata
ENSNNAP00000013396	ENSNNAG00000008810	naja_naja
ENSPTXP00000024826	ENSPTXG00000017307	pseudonaja_textilis
ENSLLTP00000019020	ENSLLTG00000014343	laticauda_laticaudata
ENSCPRP00005013335	ENSCPRG00005009425	crocodylus_porosus
ENSMGAP00000004046	ENSMGAG00000014177	meleagris_gallopavo
ENSCPIP00010014763	ENSCPIG00010011753	chrysolophus_pictus
ENSPCLP00000017408	ENSPCLG00000014494	phasianus_colchicus
ENSGALP00000023625	ENSGALG00000014687	gallus_gallus
ENSPSTP00000007642	ENSPSTG00000005395	pavo_cristatus
ENSCJPP00005021184	ENSCJPG00005016957	coturnix_japonica
ENSNMEP00000019215	ENSNMEG00000016610	numida_meleagris
ENSAZOP00000021380	ENSAZOG00000013860	anas_zonorhyncha
ENSAPLP00020002612	ENSAPLG00020001887	anas_platyrhynchos
ENSAPLP00000002321	ENSAPLG00000002800	anas_platyrhynchos_platyrhynchos
ENSCMMP00000007976	ENSCMMG00000005053	cairina_moschata_domestica
ENSACDP00005012200	ENSACDG00005008998	anser_cygnoides
ENSABRP00000006553	ENSABRG00000006022	anser_brachyrhynchus
ENSFTIP00000005491	ENSFTIG00000003807	falco_tinnunculus
ENSLCOP00000007643	ENSLCOG00000005622	lepidothrix_coronata
ENSMVIP00005019339	ENSMVIG00005013704	manacus_vitellinus
ENSCPUP00000008167	ENSCPUG00000005887	calidris_pugnax
ENSCPGP00000009141	ENSCPGG00000006487	calidris_pygmaea
ENSBOBP00000004814	ENSBOBG00000003280	bubo_bubo
ENSOSUP00000022364	ENSOSUG00000015406	otus_sunia
ENSSOCP00000006255	ENSSOCG00000004771	strix_occidentalis_caurina
ENSACUP00000006982	ENSACUG00000004791	athene_cunicularia
ENSBJAP00000021046	ENSBJAG00000013739	buteo_japonicus
ENSANIP00000010659	ENSANIG00000007224	accipiter_nisus
ENSACCP00020018070	ENSACCG00020012421	aquila_chrysaetos_chrysaetos
ENSMUNP00000001456	ENSMUNG00000001208	melopsittacus_undulatus
ENSACOP00000014630	ENSACOG00000010185	amazona_collaria
ENSSHBP00005014534	ENSSHBG00005012726	strigops_habroptila
ENSFALP00000004773	ENSFALG00000004553	ficedula_albicollis
ENSCUSP00005000350	ENSCUSG00005000116	catharus_ustulatus
ENSCRFP00000000601	ENSCRFG00000000529	stachyris_ruficeps
ENSZLMP00000010203	ENSZLMG00000007111	zosterops_lateralis_melanops
ENSPMJP00000008338	ENSPMJG00000006775	parus_major
ENSCCEP00000014566	ENSCCEG00000013882	cyanistes_caeruleus
ENSSCAP00000020690	ENSSCAG00000014915	serinus_canaria
ENSJHYP00000014090	ENSJHYG00000010918	junco_hyemalis
ENSZALP00000006518	ENSZALG00000005920	zonotrichia_albicollis
ENSCPVP00000010037	ENSCPVG00000007339	camarhynchus_parvulus
ENSGFOP00000005519	ENSGFOG00000003900	geospiza_fortis
ENSEGOP00005017961	ENSEGOG00005014415	erythrura_gouldiae
ENSTGUP00000013638	ENSTGUG00000013242	taeniopygia_guttata
ENSLSDP00000017080	ENSLSDG00000012279	lonchura_striata_domestica
