ENSCSAVP00000006363	ENSCSAVG00000003807	ciona_savignyi
ENSPMAP00000003704	ENSPMAG00000003400	petromyzon_marinus
ENSEBUP00000014231	ENSEBUG00000008960	eptatretus_burgeri
ENSCMIP00000016337	ENSCMIG00000007863	callorhinchus_milii
ENSOANP00000020901	ENSOANG00000013231	ornithorhynchus_anatinus
ENSVURP00010008376	ENSVURG00010006447	vombatus_ursinus
ENSPCIP00000003270	ENSPCIG00000002697	phascolarctos_cinereus
ENSMEUP00000013242	ENSMEUG00000014486	notamacropus_eugenii
ENSMODP00000005260	ENSMODG00000004269	monodelphis_domestica
ENSCHOP00000006159	ENSCHOG00000006936	choloepus_hoffmanni
ENSDNOP00000006228	ENSDNOG00000008017	dasypus_novemcinctus
ENSLAFP00000020298	ENSLAFG00000009659	loxodonta_africana
ENSPCAP00000003374	ENSPCAG00000003547	procavia_capensis
ENSETEP00000008584	ENSETEG00000010566	echinops_telfairi
ENSCHIP00010005782	ENSCHIG00010004106	capra_hircus_blackbengal
ENSSSCP00000005506	ENSSSCG00000005122	sus_scrofa
ENSCWAP00000019445	ENSCWAG00000014388	catagonus_wagneri
ENSVPAP00000007397	ENSVPAG00000007949	vicugna_pacos
ENSCDRP00005002893	ENSCDRG00005001992	camelus_dromedarius
ENSCHYP00000032624	ENSCHYG00000021500	cervus_hanglu_yarkandensis
ENSBTAP00000026836	ENSBTAG00000020148	bos_taurus
ENSBIXP00000018195	ENSBIXG00000022069	bos_taurus_hybrid
ENSBIXP00005043067	ENSBIXG00005026764	bos_indicus_hybrid
ENSBGRP00000001261	ENSBGRG00000000666	bos_grunniens
ENSBMUP00000029455	ENSBMUG00000022005	bos_mutus
ENSBBBP00000009572	ENSBBBG00000008384	bison_bison_bison
ENSCHIP00000012086	ENSCHIG00000013962	capra_hircus
ENSOARP00000015652	ENSOARG00000014586	ovis_aries
ENSOARP00020010976	ENSOARG00020008433	ovis_aries_rambouillet
ENSMMSP00000000290	ENSMMSG00000000195	moschus_moschiferus
ENSMMNP00015028106	ENSMMNG00015020478	monodon_monoceros
ENSDLEP00000029050	ENSDLEG00000020783	delphinapterus_leucas
ENSPSNP00000002540	ENSPSNG00000001842	phocoena_sinus
ENSTTRP00000005143	ENSTTRG00000005441	tursiops_truncatus
ENSPCTP00005025392	ENSPCTG00005017578	physeter_catodon
ENSBMSP00010003011	ENSBMSG00010002226	balaenoptera_musculus
ENSPVAP00000014007	ENSPVAG00000014863	pteropus_vampyrus
ENSMLUP00000008597	ENSMLUG00000009406	myotis_lucifugus
ENSRFEP00010009694	ENSRFEG00010006469	rhinolophus_ferrumequinum
ENSUAMP00000017516	ENSUAMG00000013897	ursus_americanus
ENSUMAP00000007452	ENSUMAG00000005756	ursus_maritimus
ENSUTTP00000027221	ENSUTTG00000016981	ursus_thibetanus_thibetanus
ENSAMEP00000001894	ENSAMEG00000001724	ailuropoda_melanoleuca
ENSZCAP00015024791	ENSZCAG00015015609	zalophus_californianus
ENSNVIP00000015302	ENSNVIG00000011869	neovison_vison
ENSMPUP00000015828	ENSMPUG00000015934	mustela_putorius_furo
ENSVVUP00000029023	ENSVVUG00000021213	vulpes_vulpes
ENSCAFP00030014988	ENSCAFG00030008950	canis_lupus_familiarisbasenji
ENSCAFP00000047151	ENSCAFG00000001713	canis_lupus_familiaris
ENSCAFP00040008991	ENSCAFG00040005352	canis_lupus_familiarisgreatdane
ENSCAFP00020018110	ENSCAFG00020014418	canis_lupus_dingo
