ENSCINP00000034604	ENSCING00000018054	ciona_intestinalis
ENSEBUP00000024909	ENSEBUG00000015384	eptatretus_burgeri
ENSEBUP00000009529	ENSEBUG00000006128	eptatretus_burgeri
ENSPMAP00000005796	ENSPMAG00000005273	petromyzon_marinus
ENSEBUP00000012140	ENSEBUG00000007743	eptatretus_burgeri
ENSPMAP00000002562	ENSPMAG00000002284	petromyzon_marinus
ENSLOCP00000014204	ENSLOCG00000011537	lepisosteus_oculatus
ENSSFOP00015032945	ENSSFOG00015021009	scleropages_formosus
ENSPKIP00000023019	ENSPKIG00000006804	paramormyrops_kingsleyae
ENSEEEP00000011856	ENSEEEG00000004939	electrophorus_electricus
ENSAMXP00000045455	ENSAMXG00000012474	astyanax_mexicanus
ENSAMXP00005023864	ENSAMXG00005011695	astyanax_mexicanus_pachon
ENSPNAP00000027048	ENSPNAG00000012443	pygocentrus_nattereri
ENSIPUP00000015198	ENSIPUG00000010294	ictalurus_punctatus
ENSDARP00000125265	ENSDARG00000013847	danio_rerio
ENSSGRP00000043334	ENSSGRG00000023401	sinocyclocheilus_grahami
ENSSGRP00000089765	ENSSGRG00000044938	sinocyclocheilus_grahami
ENSSRHP00000042519	ENSSRHG00000021227	sinocyclocheilus_rhinocerous
ENSSANP00000035220	ENSSANG00000017898	sinocyclocheilus_anshuiensis
ENSCCRP00015056559	ENSCCRG00015017751	cyprinus_carpio_huanghe
ENSCCRP00020086004	ENSCCRG00020035663	cyprinus_carpio_hebaored
ENSCCRP00010083210	ENSCCRG00010033014	cyprinus_carpio_germanmirror
ENSCARP00000048779	ENSCARG00000014167	carassius_auratus
ENSSRHP00000056111	ENSSRHG00000024459	sinocyclocheilus_rhinocerous
ENSSANP00000014849	ENSSANG00000007718	sinocyclocheilus_anshuiensis
ENSSGRP00000044067	ENSSGRG00000023458	sinocyclocheilus_grahami
ENSCCRP00000055109	ENSCCRG00000028255	cyprinus_carpio
ENSCCRP00015089927	ENSCCRG00015027830	cyprinus_carpio_huanghe
ENSCCRP00020096193	ENSCCRG00020040856	cyprinus_carpio_hebaored
ENSCCRP00010090361	ENSCCRG00010034249	cyprinus_carpio_germanmirror
ENSCARP00000002141	ENSCARG00000000847	carassius_auratus
ENSCHAP00000057104	ENSCHAG00000023240	clupea_harengus
ENSDCDP00000009963	ENSDCDG00000002222	denticeps_clupeoides
ENSGMOP00000012118	ENSGMOG00000011316	gadus_morhua
ENSHCOP00000013969	ENSHCOG00000017284	hippocampus_comes
ENSSFAP00005046680	ENSSFAG00005012701	salarias_fasciatus
ENSBSLP00000039931	ENSBSLG00000018837	betta_splendens
ENSCSEP00000018336	ENSCSEG00000011544	cynoglossus_semilaevis
ENSKMAP00000004149	ENSKMAG00000003098	kryptolebias_marmoratus
ENSNFUP00015041139	ENSNFUG00015019746	nothobranchius_furzeri
ENSCVAP00000031652	ENSCVAG00000021165	cyprinodon_variegatus
ENSFHEP00000007104	ENSFHEG00000008277	fundulus_heteroclitus
ENSXMAP00000016567	ENSXMAG00000016482	xiphophorus_maculatus
ENSXCOP00000021790	ENSXCOG00000016121	xiphophorus_couchianus
ENSPFOP00000009671	ENSPFOG00000008848	poecilia_formosa
ENSPMEP00000018773	ENSPMEG00000021738	poecilia_mexicana
ENSPLAP00000016287	ENSPLAG00000021230	poecilia_latipinna
ENSPREP00000025280	ENSPREG00000017074	poecilia_reticulata
ENSGAFP00000031908	ENSGAFG00000021475	gambusia_affinis
ENSOMEP00000027052	ENSOMEG00000009323	oryzias_melastigma
ENSOJAP00000042925	ENSOJAG00000019285	oryzias_javanicus
ENSOSIP00000009213	ENSOSIG00000004087	oryzias_sinensis
ENSORLP00015025372	ENSORLG00015006604	oryzias_latipes_hsok
ENSORLP00000022143	ENSORLG00000017692	oryzias_latipes
ENSORLP00020005903	ENSORLG00020006781	oryzias_latipes_hni
ENSPRNP00000026852	ENSPRNG00000006155	parambassis_ranga
ENSAPOP00000028556	ENSAPOG00000013926	acanthochromis_polyacanthus
ENSAPEP00000034932	ENSAPEG00000024805	amphiprion_percula
ENSAOCP00000003053	ENSAOCG00000006328	amphiprion_ocellaris
ENSSPAP00000024604	ENSSPAG00000018539	stegastes_partitus
ENSMZEP00005032958	ENSMZEG00005024555	maylandia_zebra
ENSACLP00000022495	ENSACLG00000015280	astatotilapia_calliptera
ENSPNYP00000024697	ENSPNYG00000018649	pundamilia_nyererei
ENSHBUP00000027041	ENSHBUG00000010288	haplochromis_burtoni
ENSNBRP00000009656	ENSNBRG00000007045	neolamprologus_brichardi
ENSOABP00000036238	ENSOABG00000016530	oreochromis_aureus
ENSONIP00000027648	ENSONIG00000009358	oreochromis_niloticus
ENSOABP00000013209	ENSOABG00000006634	oreochromis_aureus
ENSHBUP00000008836	ENSHBUG00000000276	haplochromis_burtoni
ENSACIP00000025809	ENSACIG00000019884	amphilophus_citrinellus
ENSATEP00000005752	ENSATEG00000003981	anabas_testudineus
ENSMALP00000031191	ENSMALG00000021387	monopterus_albus
ENSMAMP00000025557	ENSMAMG00000017162	mastacembelus_armatus
ENSLCAP00010006148	ENSLCAG00010001759	lates_calcarifer
ENSENLP00000037057	ENSENLG00000013847	echeneis_naucrates
ENSSLDP00000027305	ENSSLDG00000021153	seriola_lalandi_dorsalis
ENSSDUP00000021993	ENSSDUG00000015965	seriola_dumerili
ENSSMAP00000029273	ENSSMAG00000017876	scophthalmus_maximus
ENSLCRP00005047023	ENSLCRG00005012869	larimichthys_crocea
ENSDLAP00005036476	ENSDLAG00005012486	dicentrarchus_labrax
ENSTRUP00000067832	ENSTRUG00000011834	takifugu_rubripes
ENSTNIP00000017881	ENSTNIG00000014840	tetraodon_nigroviridis
ENSMMOP00000015314	ENSMMOG00000011681	mola_mola
ENSLBEP00000022723	ENSLBEG00000017358	labrus_bergylta
ENSSAUP00010049637	ENSSAUG00010013638	sparus_aurata
ENSCGOP00000045485	ENSCGOG00000017349	cottoperca_gobio
ENSSLUP00000031330	ENSSLUG00000009096	sander_lucioperca
ENSGACP00000022837	ENSGACG00000017289	gasterosteus_aculeatus
ENSCLMP00005025539	ENSCLMG00005007428	cyclopterus_lumpus
ENSSORP00005043305	ENSSORG00005017376	sphaeramia_orbicularis
ENSMMDP00005051600	ENSMMDG00005022868	myripristis_murdjan
ENSPMGP00000023051	ENSPMGG00000018652	periophthalmus_magnuspinnatus
ENSNMLP00000043811	ENSNMLG00000024671	neogobius_melanostomus
ENSGWIP00000050652	ENSGWIG00000023649	gouania_willdenowi
ENSGWIP00000042074	ENSGWIG00000016964	gouania_willdenowi
ENSHHUP00000075908	ENSHHUG00000044203	hucho_hucho
ENSSSAP00000026784	ENSSSAG00000003786	salmo_salar
ENSSTUP00000096409	ENSSTUG00000038507	salmo_trutta
ENSOMYP00000068174	ENSOMYG00000030173	oncorhynchus_mykiss
ENSOTSP00005082867	ENSOTSG00005019053	oncorhynchus_tshawytscha
ENSOKIP00005056239	ENSOKIG00005024025	oncorhynchus_kisutch
ENSOKIP00005070861	ENSOKIG00005029908	oncorhynchus_kisutch
ENSOTSP00005089641	ENSOTSG00005042167	oncorhynchus_tshawytscha
ENSOMYP00000098436	ENSOMYG00000044543	oncorhynchus_mykiss
ENSSTUP00000060930	ENSSTUG00000024704	salmo_trutta
ENSSSAP00000088251	ENSSSAG00000067891	salmo_salar
ENSHHUP00000043542	ENSHHUG00000026026	hucho_hucho
ENSELUP00000025426	ENSELUG00000024112	esox_lucius
ENSSORP00005030558	ENSSORG00005014580	sphaeramia_orbicularis
ENSSORP00005030555	ENSSORG00005014577	sphaeramia_orbicularis
ENSSORP00005030571	ENSSORG00005014582	sphaeramia_orbicularis
ENSCSEP00000028265	ENSCSEG00000018056	cynoglossus_semilaevis
ENSHCOP00000010454	ENSHCOG00000013062	hippocampus_comes
ENSPMGP00000026879	ENSPMGG00000021695	periophthalmus_magnuspinnatus
ENSNMLP00000017006	ENSNMLG00000009221	neogobius_melanostomus
ENSTRUP00000044719	ENSTRUG00000017446	takifugu_rubripes
ENSTNIP00000002388	ENSTNIG00000013552	tetraodon_nigroviridis
ENSTNIP00000000885	ENSTNIG00000000023	tetraodon_nigroviridis
ENSTNIP00000016550	ENSTNIG00000013553	tetraodon_nigroviridis
ENSMMOP00000025376	ENSMMOG00000019264	mola_mola
ENSLBEP00000027561	ENSLBEG00000020899	labrus_bergylta
ENSSAUP00010058507	ENSSAUG00010017437	sparus_aurata
ENSDLAP00005043462	ENSDLAG00005017438	dicentrarchus_labrax
ENSLCRP00005021477	ENSLCRG00005008076	larimichthys_crocea
ENSSLUP00000010313	ENSSLUG00000004253	sander_lucioperca
ENSCLMP00005019417	ENSCLMG00005008079	cyclopterus_lumpus
ENSGACP00000023887	ENSGACG00000018079	gasterosteus_aculeatus
ENSSMAP00000017587	ENSSMAG00000010649	scophthalmus_maximus
ENSSLDP00000017698	ENSSLDG00000013878	seriola_lalandi_dorsalis
ENSSDUP00000022791	ENSSDUG00000016537	seriola_dumerili
ENSENLP00000027191	ENSENLG00000008391	echeneis_naucrates
ENSLCAP00010015700	ENSLCAG00010006879	lates_calcarifer
ENSATEP00000023317	ENSATEG00000016090	anabas_testudineus
ENSBSLP00000012161	ENSBSLG00000005077	betta_splendens
ENSMALP00000014608	ENSMALG00000010198	monopterus_albus
ENSMAMP00000031796	ENSMAMG00000020588	mastacembelus_armatus
ENSSPAP00000024033	ENSSPAG00000018106	stegastes_partitus
ENSAOCP00000015455	ENSAOCG00000020243	amphiprion_ocellaris
ENSAPEP00000001998	ENSAPEG00000001483	amphiprion_percula
