ENSEBUP00000002876	ENSEBUG00000002161	eptatretus_burgeri
ENSSFOP00015000357	ENSSFOG00015000322	scleropages_formosus
ENSPKIP00000025059	ENSPKIG00000008011	paramormyrops_kingsleyae
ENSHHUP00000021504	ENSHHUG00000013470	hucho_hucho
ENSHHUP00000021514	ENSHHUG00000013475	hucho_hucho
ENSXCOP00000012050	ENSXCOG00000009119	xiphophorus_couchianus
ENSPMEP00000001239	ENSPMEG00000002113	poecilia_mexicana
ENSGMOP00000007025	ENSGMOG00000006586	gadus_morhua
ENSBSLP00000022479	ENSBSLG00000009878	betta_splendens
ENSSFAP00005045696	ENSSFAG00005022000	salarias_fasciatus
ENSTRUP00000013679	ENSTRUG00000005654	takifugu_rubripes
ENSTNIP00000011840	ENSTNIG00000008986	tetraodon_nigroviridis
ENSPMGP00000015362	ENSPMGG00000012590	periophthalmus_magnuspinnatus
ENSNMLP00000019879	ENSNMLG00000012994	neogobius_melanostomus
ENSCSEP00000020372	ENSCSEG00000012965	cynoglossus_semilaevis
ENSHCOP00000019464	ENSHCOG00000004852	hippocampus_comes
ENSSORP00005009517	ENSSORG00005002502	sphaeramia_orbicularis
ENSPRNP00000031039	ENSPRNG00000014055	parambassis_ranga
ENSSPAP00000024549	ENSSPAG00000018550	stegastes_partitus
ENSAOCP00000007626	ENSAOCG00000011521	amphiprion_ocellaris
ENSAPEP00000019108	ENSAPEG00000013565	amphiprion_percula
ENSAPOP00000012825	ENSAPOG00000015895	acanthochromis_polyacanthus
ENSORLP00020007698	ENSORLG00020008631	oryzias_latipes_hni
ENSORLP00000029004	ENSORLG00000006599	oryzias_latipes
ENSORLP00015024274	ENSORLG00015004746	oryzias_latipes_hsok
ENSOSIP00000011146	ENSOSIG00000006716	oryzias_sinensis
ENSOMEP00000007723	ENSOMEG00000008856	oryzias_melastigma
ENSOJAP00000043004	ENSOJAG00000020995	oryzias_javanicus
ENSNFUP00015002644	ENSNFUG00015001315	nothobranchius_furzeri
ENSKMAP00000026360	ENSKMAG00000019494	kryptolebias_marmoratus
ENSCVAP00000019906	ENSCVAG00000023413	cyprinodon_variegatus
ENSFHEP00000007876	ENSFHEG00000009109	fundulus_heteroclitus
ENSGAFP00000008665	ENSGAFG00000005878	gambusia_affinis
ENSXMAP00000009741	ENSXMAG00000009676	xiphophorus_maculatus
ENSPLAP00000008722	ENSPLAG00000011337	poecilia_latipinna
ENSPFOP00000006920	ENSPFOG00000006674	poecilia_formosa
ENSPREP00000007580	ENSPREG00000005213	poecilia_reticulata
ENSACIP00000010873	ENSACIG00000008459	amphilophus_citrinellus
ENSHBUP00000027706	ENSHBUG00000011081	haplochromis_burtoni
ENSMZEP00005013376	ENSMZEG00005010055	maylandia_zebra
ENSACLP00000005784	ENSACLG00000003902	astatotilapia_calliptera
ENSPNYP00000000293	ENSPNYG00000000218	pundamilia_nyererei
ENSNBRP00000019334	ENSNBRG00000014714	neolamprologus_brichardi
ENSOABP00000051520	ENSOABG00000022802	oreochromis_aureus
ENSONIP00000039465	ENSONIG00000017793	oreochromis_niloticus
ENSGWIP00000027421	ENSGWIG00000014027	gouania_willdenowi
ENSLBEP00000037798	ENSLBEG00000028171	labrus_bergylta
ENSMMOP00000011742	ENSMMOG00000009022	mola_mola
ENSSAUP00010025959	ENSSAUG00010011154	sparus_aurata
ENSLCRP00005041480	ENSLCRG00005014348	larimichthys_crocea
ENSDLAP00005035921	ENSDLAG00005015701	dicentrarchus_labrax
ENSCGOP00000044225	ENSCGOG00000019882	cottoperca_gobio
ENSSLUP00000036402	ENSSLUG00000014816	sander_lucioperca
ENSGACP00000024222	ENSGACG00000018320	gasterosteus_aculeatus
ENSCLMP00005036593	ENSCLMG00005017428	cyclopterus_lumpus
ENSLCAP00010023763	ENSLCAG00010011154	lates_calcarifer
ENSENLP00000023087	ENSENLG00000008776	echeneis_naucrates
ENSSLDP00000012614	ENSSLDG00000009892	seriola_lalandi_dorsalis
ENSSDUP00000011450	ENSSDUG00000008353	seriola_dumerili
ENSSMAP00000011449	ENSSMAG00000007017	scophthalmus_maximus
ENSATEP00000005081	ENSATEG00000003469	anabas_testudineus
ENSMALP00000009955	ENSMALG00000006932	monopterus_albus
ENSMAMP00000016472	ENSMAMG00000011161	mastacembelus_armatus
ENSMMDP00005054106	ENSMMDG00005024298	myripristis_murdjan
ENSHHUP00000018031	ENSHHUG00000011242	hucho_hucho
ENSOMYP00000035016	ENSOMYG00000016274	oncorhynchus_mykiss
ENSOKIP00005041794	ENSOKIG00005017223	oncorhynchus_kisutch
ENSOKIP00005081839	ENSOKIG00005035303	oncorhynchus_kisutch
ENSHHUP00000032522	ENSHHUG00000020610	hucho_hucho
ENSSSAP00000032655	ENSSSAG00000040805	salmo_salar
ENSHHUP00000086898	ENSHHUG00000050277	hucho_hucho
ENSHHUP00000086904	ENSHHUG00000050280	hucho_hucho
ENSELUP00000039234	ENSELUG00000019331	esox_lucius
ENSCCRP00000033922	ENSCCRG00000018078	cyprinus_carpio
ENSCCRP00015018991	ENSCCRG00015006991	cyprinus_carpio_huanghe
ENSCCRP00010047937	ENSCCRG00010019711	cyprinus_carpio_germanmirror
ENSCCRP00020047136	ENSCCRG00020020014	cyprinus_carpio_hebaored
ENSCARP00000112170	ENSCARG00000057551	carassius_auratus
ENSSANP00000095751	ENSSANG00000047177	sinocyclocheilus_anshuiensis
ENSSRHP00000000711	ENSSRHG00000000338	sinocyclocheilus_rhinocerous
ENSSGRP00000000515	ENSSGRG00000000263	sinocyclocheilus_grahami
ENSCCRP00015081270	ENSCCRG00015032246	cyprinus_carpio_huanghe
ENSCCRP00020090344	ENSCCRG00020040683	cyprinus_carpio_hebaored
ENSCCRP00010084439	ENSCCRG00010035640	cyprinus_carpio_germanmirror
ENSCCRP00000088055	ENSCCRG00000044738	cyprinus_carpio
ENSSGRP00000113017	ENSSGRG00000055546	sinocyclocheilus_grahami
ENSSRHP00000050865	ENSSRHG00000025610	sinocyclocheilus_rhinocerous
ENSSANP00000092089	ENSSANG00000045388	sinocyclocheilus_anshuiensis
ENSCARP00000015064	ENSCARG00000004287	carassius_auratus
ENSDARP00000133227	ENSDARG00000104453	danio_rerio
ENSPNAP00000013004	ENSPNAG00000018827	pygocentrus_nattereri
ENSAMXP00005007975	ENSAMXG00005004319	astyanax_mexicanus_pachon
ENSAMXP00000001349	ENSAMXG00000001322	astyanax_mexicanus
ENSIPUP00000025090	ENSIPUG00000016925	ictalurus_punctatus
ENSEEEP00000018884	ENSEEEG00000008806	electrophorus_electricus
ENSDCDP00000058282	ENSDCDG00000033728	denticeps_clupeoides
ENSCHAP00000006669	ENSCHAG00000001387	clupea_harengus
ENSLOCP00000014783	ENSLOCG00000012009	lepisosteus_oculatus
ENSCHIP00010013934	ENSCHIG00010010242	capra_hircus_blackbengal
ENSRBIP00000002994	ENSRBIG00000014328	rhinopithecus_bieti
ENSNNAP00000028576	ENSNNAG00000018372	naja_naja
ENSLLTP00000016647	ENSLLTG00000012694	laticauda_laticaudata
ENSNSUP00000017650	ENSNSUG00000012954	notechis_scutatus
ENSHHUP00000059732	ENSHHUG00000035465	hucho_hucho
ENSACLP00000038896	ENSACLG00000026248	astatotilapia_calliptera
ENSNFUP00015013856	ENSNFUG00015006655	nothobranchius_furzeri
ENSMEUP00000010005	ENSMEUG00000010935	notamacropus_eugenii
ENSVURP00010025768	ENSVURG00010019743	vombatus_ursinus
ENSPCIP00000004879	ENSPCIG00000004027	phascolarctos_cinereus
ENSSHAP00000008479	ENSSHAG00000007344	sarcophilus_harrisii
ENSMODP00000046934	ENSMODG00000003918	monodelphis_domestica
ENSEEUP00000007721	ENSEEUG00000008406	erinaceus_europaeus
ENSEASP00005018606	ENSEASG00005012804	equus_asinus_asinus
ENSECAP00000022789	ENSECAG00000017108	equus_caballus
ENSCWAP00000029337	ENSCWAG00000021963	catagonus_wagneri
ENSSSCP00000014892	ENSSSCG00000014007	sus_scrofa
ENSBMSP00010010977	ENSBMSG00010007965	balaenoptera_musculus
ENSPCTP00005001008	ENSPCTG00005000690	physeter_catodon
ENSTTRP00000005698	ENSTTRG00000006011	tursiops_truncatus
ENSMMNP00015003221	ENSMMNG00015002382	monodon_monoceros
ENSDLEP00000023912	ENSDLEG00000017328	delphinapterus_leucas
ENSPSNP00000015315	ENSPSNG00000010686	phocoena_sinus
ENSMMSP00000032809	ENSMMSG00000024202	moschus_moschiferus
ENSCHIP00010010439	ENSCHIG00010007797	capra_hircus_blackbengal
ENSCHIP00000011608	ENSCHIG00000013670	capra_hircus
ENSOARP00020013080	ENSOARG00020009822	ovis_aries_rambouillet
ENSOARP00000000630	ENSOARG00000000603	ovis_aries
ENSBBBP00000018071	ENSBBBG00000001895	bison_bison_bison
ENSBGRP00000009949	ENSBGRG00000006109	bos_grunniens
ENSBMUP00000015404	ENSBMUG00000011679	bos_mutus
ENSBIXP00005027685	ENSBIXG00005030226	bos_indicus_hybrid
ENSBTAP00000039997	ENSBTAG00000001462	bos_taurus
ENSBIXP00000022192	ENSBIXG00000025127	bos_taurus_hybrid
