ENSCMIP00000011731	ENSCMIG00000005965	callorhinchus_milii
ENSMGAP00000004204	ENSMGAG00000004380	meleagris_gallopavo
ENSLOCP00000015131	ENSLOCG00000012293	lepisosteus_oculatus
ENSGMOP00000013848	ENSGMOG00000012942	gadus_morhua
ENSMALP00000014849	ENSMALG00000010412	monopterus_albus
ENSTNIP00000010448	ENSTNIG00000007633	tetraodon_nigroviridis
ENSTRUP00000056544	ENSTRUG00000004233	takifugu_rubripes
ENSSORP00005043282	ENSSORG00005016683	sphaeramia_orbicularis
ENSNMLP00000044194	ENSNMLG00000012116	neogobius_melanostomus
ENSPMGP00000014650	ENSPMGG00000011111	periophthalmus_magnuspinnatus
ENSPREP00000008616	ENSPREG00000005849	poecilia_reticulata
ENSPMEP00000003770	ENSPMEG00000004980	poecilia_mexicana
ENSPFOP00000018408	ENSPFOG00000018271	poecilia_formosa
ENSPLAP00000016380	ENSPLAG00000020546	poecilia_latipinna
ENSGAFP00000010919	ENSGAFG00000007383	gambusia_affinis
ENSXCOP00000005103	ENSXCOG00000003991	xiphophorus_couchianus
ENSXMAP00000018904	ENSXMAG00000018788	xiphophorus_maculatus
ENSCVAP00000019279	ENSCVAG00000022645	cyprinodon_variegatus
ENSFHEP00000018503	ENSFHEG00000020422	fundulus_heteroclitus
ENSKMAP00000025160	ENSKMAG00000018622	kryptolebias_marmoratus
ENSNFUP00015051633	ENSNFUG00015015879	nothobranchius_furzeri
ENSGWIP00000050247	ENSGWIG00000024247	gouania_willdenowi
ENSSFAP00005049531	ENSSFAG00005015307	salarias_fasciatus
ENSSLDP00000020968	ENSSLDG00000016377	seriola_lalandi_dorsalis
ENSCSEP00000025659	ENSCSEG00000016374	cynoglossus_semilaevis
ENSHCOP00000008426	ENSHCOG00000010690	hippocampus_comes
ENSAPEP00000031079	ENSAPEG00000022043	amphiprion_percula
ENSAOCP00000030731	ENSAOCG00000021941	amphiprion_ocellaris
ENSAPOP00000000807	ENSAPOG00000002040	acanthochromis_polyacanthus
ENSSPAP00000004899	ENSSPAG00000003774	stegastes_partitus
ENSPRNP00000006236	ENSPRNG00000002267	parambassis_ranga
ENSORLP00015033185	ENSORLG00015018433	oryzias_latipes_hsok
ENSORLP00000017514	ENSORLG00000013964	oryzias_latipes
ENSORLP00020010536	ENSORLG00020000960	oryzias_latipes_hni
ENSOSIP00000051472	ENSOSIG00000023405	oryzias_sinensis
ENSOMEP00000023110	ENSOMEG00000003036	oryzias_melastigma
ENSNBRP00000012112	ENSNBRG00000009440	neolamprologus_brichardi
ENSMZEP00005012626	ENSMZEG00005009478	maylandia_zebra
ENSHBUP00000033193	ENSHBUG00000020002	haplochromis_burtoni
ENSPNYP00000010837	ENSPNYG00000008189	pundamilia_nyererei
ENSACLP00000023118	ENSACLG00000015658	astatotilapia_calliptera
ENSONIP00000021843	ENSONIG00000017319	oreochromis_niloticus
ENSOABP00000043197	ENSOABG00000006883	oreochromis_aureus
ENSLCRP00005062555	ENSLCRG00005017458	larimichthys_crocea
ENSDLAP00005055378	ENSDLAG00005015293	dicentrarchus_labrax
ENSSAUP00010047095	ENSSAUG00010006650	sparus_aurata
ENSLBEP00000020777	ENSLBEG00000015960	labrus_bergylta
ENSCLMP00005012735	ENSCLMG00005006797	cyclopterus_lumpus
ENSGACP00000027500	ENSGACG00000020799	gasterosteus_aculeatus
ENSSLUP00000058114	ENSSLUG00000018660	sander_lucioperca
ENSCGOP00000038867	ENSCGOG00000017726	cottoperca_gobio
ENSLCAP00010026088	ENSLCAG00010012180	lates_calcarifer
ENSSMAP00000012344	ENSSMAG00000007550	scophthalmus_maximus
ENSENLP00000053033	ENSENLG00000021607	echeneis_naucrates
ENSMAMP00000029851	ENSMAMG00000020112	mastacembelus_armatus
ENSBSLP00000050069	ENSBSLG00000019692	betta_splendens
ENSATEP00000033005	ENSATEG00000022718	anabas_testudineus
ENSMMOP00000019538	ENSMMOG00000014822	mola_mola
ENSACIP00000003046	ENSACIG00000002426	amphilophus_citrinellus
ENSGWIP00000050344	ENSGWIG00000024482	gouania_willdenowi
ENSSDUP00000000620	ENSSDUG00000000486	seriola_dumerili
ENSMMDP00005032173	ENSMMDG00005015049	myripristis_murdjan
ENSELUP00000033207	ENSELUG00000011441	esox_lucius
ENSHHUP00000049835	ENSHHUG00000028187	hucho_hucho
ENSOMYP00000041389	ENSOMYG00000018850	oncorhynchus_mykiss
ENSOKIP00005103189	ENSOKIG00005044525	oncorhynchus_kisutch
ENSOTSP00005046619	ENSOTSG00005015990	oncorhynchus_tshawytscha
ENSSSAP00000065968	ENSSSAG00000020292	salmo_salar
ENSSTUP00000019717	ENSSTUG00000006099	salmo_trutta
ENSHHUP00000060565	ENSHHUG00000033387	hucho_hucho
ENSOMYP00000081449	ENSOMYG00000032603	oncorhynchus_mykiss
ENSOKIP00005082723	ENSOKIG00005032151	oncorhynchus_kisutch
ENSOTSP00005095573	ENSOTSG00005044444	oncorhynchus_tshawytscha
ENSSSAP00000058083	ENSSSAG00000017777	salmo_salar
ENSSTUP00000021324	ENSSTUG00000006565	salmo_trutta
ENSCHAP00000061797	ENSCHAG00000027314	clupea_harengus
ENSDCDP00000056442	ENSDCDG00000024150	denticeps_clupeoides
ENSSGRP00000093583	ENSSGRG00000046785	sinocyclocheilus_grahami
ENSSRHP00000007100	ENSSRHG00000002739	sinocyclocheilus_rhinocerous
ENSSANP00000032833	ENSSANG00000016224	sinocyclocheilus_anshuiensis
ENSCCRP00015039238	ENSCCRG00015005063	cyprinus_carpio_huanghe
ENSCCRP00000024861	ENSCCRG00000005846	cyprinus_carpio
ENSCCRP00010117156	ENSCCRG00010041017	cyprinus_carpio_germanmirror
ENSCCRP00020091792	ENSCCRG00020022788	cyprinus_carpio_hebaored
ENSCARP00000053983	ENSCARG00000023218	carassius_auratus
ENSSGRP00000108588	ENSSGRG00000053514	sinocyclocheilus_grahami
ENSSANP00000086288	ENSSANG00000042779	sinocyclocheilus_anshuiensis
ENSSRHP00000001187	ENSSRHG00000000472	sinocyclocheilus_rhinocerous
ENSCARP00000087273	ENSCARG00000042016	carassius_auratus
ENSCCRP00015078589	ENSCCRG00015020094	cyprinus_carpio_huanghe
ENSCCRP00000097338	ENSCCRG00000051295	cyprinus_carpio
ENSCCRP00010110792	ENSCCRG00010033614	cyprinus_carpio_germanmirror
ENSCCRP00020040853	ENSCCRG00020005319	cyprinus_carpio_hebaored
ENSDARP00000143805	ENSDARG00000069105	danio_rerio
ENSEEEP00000044351	ENSEEEG00000020857	electrophorus_electricus
ENSIPUP00000010278	ENSIPUG00000006955	ictalurus_punctatus
ENSAMXP00005023398	ENSAMXG00005010251	astyanax_mexicanus_pachon
ENSAMXP00000007168	ENSAMXG00000006962	astyanax_mexicanus
ENSPNAP00000029663	ENSPNAG00000015921	pygocentrus_nattereri
ENSPKIP00000026979	ENSPKIG00000009221	paramormyrops_kingsleyae
ENSSFOP00015015936	ENSSFOG00015010244	scleropages_formosus
ENSPKIP00000039223	ENSPKIG00000016646	paramormyrops_kingsleyae
ENSECRP00000014260	ENSECRG00000009520	erpetoichthys_calabaricus
ENSLACP00000021882	ENSLACG00000009607	latimeria_chalumnae
