ENSPKIP00000030775	ENSPKIG00000011508	paramormyrops_kingsleyae
ENSCSRP00000025006	ENSCSRG00000018684	chelydra_serpentina
ENSCPBP00000000288	ENSCPBG00000000252	chrysemys_picta_bellii
ENSGAGP00000029684	ENSGAGG00000021429	gopherus_agassizii
ENSCABP00000015924	ENSCABG00000011875	chelonoidis_abingdonii
ENSGEVP00005028536	ENSGEVG00005020062	gopherus_evgoodei
ENSTMTP00000013100	ENSTMTG00000009435	terrapene_carolina_triunguis
ENSCABP00000020575	ENSCABG00000015154	chelonoidis_abingdonii
ENSGAGP00000006435	ENSGAGG00000005203	gopherus_agassizii
ENSPCEP00000019516	ENSPCEG00000015168	pelusios_castaneus
ENSVKKP00000010549	ENSVKKG00000007421	varanus_komodoensis
ENSPTXP00000027338	ENSPTXG00000018847	pseudonaja_textilis
ENSNSUP00000018351	ENSNSUG00000013428	notechis_scutatus
ENSNSUP00000018354	ENSNSUG00000013430	notechis_scutatus
ENSLLTP00000000767	ENSLLTG00000000599	laticauda_laticaudata
ENSNNAP00000015473	ENSNNAG00000009873	naja_naja
ENSLLTP00000001592	ENSLLTG00000001192	laticauda_laticaudata
ENSACAP00000009324	ENSACAG00000009241	anolis_carolinensis
ENSSMRP00000028787	ENSSMRG00000022143	salvator_merianae
ENSPMRP00000022593	ENSPMRG00000014675	podarcis_muralis
ENSPVIP00000018037	ENSPVIG00000013811	pogona_vitticeps
ENSCPRP00005013205	ENSCPRG00005009314	crocodylus_porosus
ENSDNVP00000013598	ENSDNVG00000009550	dromaius_novaehollandiae
ENSSCUP00000007981	ENSSCUG00000005831	struthio_camelus_australis
ENSARWP00000017219	ENSARWG00000011858	apteryx_rowi
ENSAHAP00000021359	ENSAHAG00000014967	apteryx_haastii
ENSAOWP00000000971	ENSAOWG00000000680	apteryx_owenii
ENSNPEP00000000629	ENSNPEG00000000509	nothoprocta_perdicaria
ENSNMEP00000016734	ENSNMEG00000014711	numida_meleagris
ENSMGAP00000002139	ENSMGAG00000002399	meleagris_gallopavo
ENSPSTP00000005995	ENSPSTG00000004234	pavo_cristatus
ENSCPIP00010016866	ENSCPIG00010013473	chrysolophus_pictus
ENSPCLP00000010272	ENSPCLG00000008465	phasianus_colchicus
ENSCJPP00005024342	ENSCJPG00005019198	coturnix_japonica
ENSPSTP00000006689	ENSPSTG00000004742	pavo_cristatus
ENSGALP00000010654	ENSGALG00000006609	gallus_gallus
ENSCMMP00000027391	ENSCMMG00000016789	cairina_moschata_domestica
ENSAZOP00000019713	ENSAZOG00000012789	anas_zonorhyncha
ENSAPLP00000005499	ENSAPLG00000005830	anas_platyrhynchos_platyrhynchos
ENSAPLP00020001327	ENSAPLG00020000970	anas_platyrhynchos
ENSACDP00005009387	ENSACDG00005006865	anser_cygnoides
ENSABRP00000024234	ENSABRG00000020355	anser_brachyrhynchus
ENSMUNP00000005112	ENSMUNG00000004230	melopsittacus_undulatus
ENSACOP00000010239	ENSACOG00000007049	amazona_collaria
ENSSHBP00005015518	ENSSHBG00005013569	strigops_habroptila
ENSFTIP00000010946	ENSFTIG00000007338	falco_tinnunculus
ENSANIP00000022779	ENSANIG00000015514	accipiter_nisus
ENSBJAP00000022206	ENSBJAG00000014436	buteo_japonicus
ENSACCP00020007161	ENSACCG00020004897	aquila_chrysaetos_chrysaetos
ENSBOBP00000015922	ENSBOBG00000009994	bubo_bubo
ENSACUP00000003575	ENSACUG00000002410	athene_cunicularia
ENSOSUP00000019254	ENSOSUG00000013539	otus_sunia
ENSSOCP00000021258	ENSSOCG00000015463	strix_occidentalis_caurina
ENSCPUP00000017070	ENSCPUG00000011776	calidris_pugnax
ENSCPGP00000011105	ENSCPGG00000007921	calidris_pygmaea
ENSLCOP00000012728	ENSLCOG00000009204	lepidothrix_coronata
ENSMVIP00005011358	ENSMVIG00005008332	manacus_vitellinus
ENSPMJP00000022369	ENSPMJG00000016572	parus_major
ENSCCEP00000022648	ENSCCEG00000020422	cyanistes_caeruleus
ENSLSDP00000017273	ENSLSDG00000012402	lonchura_striata_domestica
ENSTGUP00000007088	ENSTGUG00000006852	taeniopygia_guttata
ENSEGOP00005023580	ENSEGOG00005019439	erythrura_gouldiae
ENSMCSP00000012528	ENSMCSG00000008586	malurus_cyaneus_samueli
ENSJHYP00000022475	ENSJHYG00000016944	junco_hyemalis
ENSZALP00000010126	ENSZALG00000008603	zonotrichia_albicollis
ENSGFOP00000020490	ENSGFOG00000013673	geospiza_fortis
ENSCPVP00000015414	ENSCPVG00000011299	camarhynchus_parvulus
ENSSCAP00000007196	ENSSCAG00000005532	serinus_canaria
ENSCRFP00000000655	ENSCRFG00000000123	stachyris_ruficeps
ENSZLMP00000005710	ENSZLMG00000003898	zosterops_lateralis_melanops
ENSCUSP00005022997	ENSCUSG00005014461	catharus_ustulatus
ENSFALP00000013975	ENSFALG00000013390	ficedula_albicollis
ENSCMUP00000019001	ENSCMUG00000011741	corvus_moneduloides
ENSDORP00000024120	ENSDORG00000009900	dipodomys_ordii
ENSOANP00000032256	ENSOANG00000032033	ornithorhynchus_anatinus
