ENSLOCP00000007272	ENSLOCG00000006007	lepisosteus_oculatus
ENSCMIP00000046426	ENSCMIG00000019098	callorhinchus_milii
ENSXETP00000093263	ENSXETG00000002168	xenopus_tropicalis
ENSXETP00000083533	ENSXETG00000041036	xenopus_tropicalis
ENSLLEP00000002935	ENSLLEG00000001896	leptobrachium_leishanense
ENSOANP00000047763	ENSOANG00000002050	ornithorhynchus_anatinus
ENSPMRP00000027730	ENSPMRG00000017862	podarcis_muralis
ENSSPUP00000005084	ENSSPUG00000003925	sphenodon_punctatus
ENSCPRP00005003598	ENSCPRG00005002634	crocodylus_porosus
ENSDNVP00000015225	ENSDNVG00000010717	dromaius_novaehollandiae
ENSAOWP00000014618	ENSAOWG00000009916	apteryx_owenii
ENSAHAP00000025306	ENSAHAG00000017589	apteryx_haastii
ENSARWP00000013253	ENSARWG00000009141	apteryx_rowi
ENSSCUP00000018074	ENSSCUG00000013364	struthio_camelus_australis
ENSNPEP00000010517	ENSNPEG00000007894	nothoprocta_perdicaria
ENSPCLP00000007155	ENSPCLG00000005966	phasianus_colchicus
ENSCPUP00000027698	ENSCPUG00000018646	calidris_pugnax
ENSCPGP00000013241	ENSCPGG00000009331	calidris_pygmaea
ENSNMEP00000006113	ENSNMEG00000006216	numida_meleagris
ENSGALP00000047451	ENSGALG00000001912	gallus_gallus
ENSPSTP00000004688	ENSPSTG00000003326	pavo_cristatus
ENSCPIP00010011254	ENSCPIG00010008712	chrysolophus_pictus
ENSPCLP00000007148	ENSPCLG00000005958	phasianus_colchicus
ENSCJPP00005020392	ENSCJPG00005016367	coturnix_japonica
ENSMGAP00000002910	ENSMGAG00000003097	meleagris_gallopavo
ENSCMMP00000009842	ENSCMMG00000006249	cairina_moschata_domestica
ENSAZOP00000026503	ENSAZOG00000016889	anas_zonorhyncha
ENSAPLP00020015040	ENSAPLG00020010913	anas_platyrhynchos
ENSAPLP00000025807	ENSAPLG00000016384	anas_platyrhynchos_platyrhynchos
ENSACDP00005003871	ENSACDG00005002832	anser_cygnoides
ENSABRP00000025174	ENSABRG00000021121	anser_brachyrhynchus
ENSLCOP00000000500	ENSLCOG00000000439	lepidothrix_coronata
ENSMVIP00005019005	ENSMVIG00005013444	manacus_vitellinus
ENSCCEP00000013191	ENSCCEG00000012691	cyanistes_caeruleus
ENSPMJP00000008443	ENSPMJG00000006857	parus_major
ENSLSDP00000020800	ENSLSDG00000014729	lonchura_striata_domestica
ENSTGUP00000037830	ENSTGUG00000001509	taeniopygia_guttata
ENSEGOP00005023264	ENSEGOG00005019235	erythrura_gouldiae
ENSCRFP00000011464	ENSCRFG00000008907	stachyris_ruficeps
ENSZLMP00000012227	ENSZLMG00000008509	zosterops_lateralis_melanops
ENSCPVP00000021085	ENSCPVG00000015260	camarhynchus_parvulus
ENSGFOP00000021634	ENSGFOG00000014349	geospiza_fortis
ENSZALP00000014793	ENSZALG00000012240	zonotrichia_albicollis
ENSJHYP00000006318	ENSJHYG00000005072	junco_hyemalis
ENSCUSP00005010895	ENSCUSG00005007038	catharus_ustulatus
ENSFALP00000000997	ENSFALG00000000938	ficedula_albicollis
ENSCMUP00000021721	ENSCMUG00000013374	corvus_moneduloides
ENSMCSP00000020336	ENSMCSG00000014263	malurus_cyaneus_samueli
ENSMCSP00000020476	ENSMCSG00000014364	malurus_cyaneus_samueli
ENSSOCP00000005044	ENSSOCG00000003867	strix_occidentalis_caurina
ENSOSUP00000013209	ENSOSUG00000009512	otus_sunia
ENSACUP00000013978	ENSACUG00000009385	athene_cunicularia
ENSACUP00000013982	ENSACUG00000009388	athene_cunicularia
ENSGFOP00000013574	ENSGFOG00000009293	geospiza_fortis
ENSSCAP00000021073	ENSSCAG00000015183	serinus_canaria
ENSSCAP00000021079	ENSSCAG00000015184	serinus_canaria
ENSPCLP00000007153	ENSPCLG00000005963	phasianus_colchicus
ENSBOBP00000004067	ENSBOBG00000002792	bubo_bubo
ENSBOBP00000004071	ENSBOBG00000002794	bubo_bubo
ENSANIP00000010520	ENSANIG00000007127	accipiter_nisus
ENSACCP00020023700	ENSACCG00020016272	aquila_chrysaetos_chrysaetos
ENSBJAP00000013476	ENSBJAG00000008998	buteo_japonicus
ENSFTIP00000013449	ENSFTIG00000008979	falco_tinnunculus
ENSMUNP00000008965	ENSMUNG00000007073	melopsittacus_undulatus
ENSACOP00000001202	ENSACOG00000000873	amazona_collaria
ENSSHBP00005019905	ENSSHBG00005017016	strigops_habroptila
ENSTMTP00000013632	ENSTMTG00000009888	terrapene_carolina_triunguis
