ENSPCIP00000049874	ENSPCIG00000031448	phascolarctos_cinereus
ENSMODP00000058991	ENSMODG00000040375	monodelphis_domestica
ENSMEUP00000004613	ENSMEUG00000005028	notamacropus_eugenii
ENSSHAP00000015717	ENSSHAG00000013395	sarcophilus_harrisii
ENSMODP00000022143	ENSMODG00000017759	monodelphis_domestica
ENSVURP00010003384	ENSVURG00010002719	vombatus_ursinus
ENSTBEP00000004793	ENSTBEG00000005531	tupaia_belangeri
ENSOCUP00000039661	ENSOCUG00000030887	oryctolagus_cuniculus
ENSOCUP00000030490	ENSOCUG00000037075	oryctolagus_cuniculus
ENSMUSP00000050810	ENSMUSG00000028876	mus_musculus
ENSSTOP00000005118	ENSSTOG00000005714	ictidomys_tridecemlineatus
ENSUPAP00010021654	ENSUPAG00010017225	urocitellus_parryii
ENSUPAP00010021639	ENSUPAG00010017214	urocitellus_parryii
ENSSDAP00000015950	ENSSDAG00000014426	spermophilus_dauricus
ENSSDAP00000015931	ENSSDAG00000014408	spermophilus_dauricus
ENSMMMP00000006635	ENSMMMG00000005943	marmota_marmota_marmota
ENSMMMP00000006620	ENSMMMG00000005932	marmota_marmota_marmota
ENSSVLP00005003433	ENSSVLG00005002692	sciurus_vulgaris
ENSCAPP00000004931	ENSCAPG00000007353	cavia_aperea
ENSCPOP00000031532	ENSCPOG00000040734	cavia_porcellus
ENSCLAP00000012312	ENSCLAG00000008506	chinchilla_lanigera
ENSCLAP00000016932	ENSCLAG00000011620	chinchilla_lanigera
ENSODEP00000007656	ENSODEG00000005704	octodon_degus
ENSHGLP00000017749	ENSHGLG00000012693	heterocephalus_glaber_female
ENSHGLP00000017894	ENSHGLG00000012820	heterocephalus_glaber_female
ENSHGLP00100003823	ENSHGLG00100002911	heterocephalus_glaber_male
ENSHGLP00100003740	ENSHGLG00100002851	heterocephalus_glaber_male
ENSFDAP00000005396	ENSFDAG00000014420	fukomys_damarensis
ENSFDAP00000020854	ENSFDAG00000008137	fukomys_damarensis
ENSCCNP00000019535	ENSCCNG00000019623	castor_canadensis
ENSCCNP00000019530	ENSCCNG00000019613	castor_canadensis
ENSDORP00000021966	ENSDORG00000001556	dipodomys_ordii
