FBpp0088153	FBgn0025936	drosophila_melanogaster
M03A1.1b.1	WBGene00006868	caenorhabditis_elegans
F59F5.3.1	WBGene00010342	caenorhabditis_elegans
ENSCSAVP00000010705	ENSCSAVG00000006279	ciona_savignyi
ENSCINP00000013813	ENSCING00000006726	ciona_intestinalis
ENSCSAVP00000006195	ENSCSAVG00000003699	ciona_savignyi
ENSCINP00000014701	ENSCING00000007163	ciona_intestinalis
ENSCSAVP00000008767	ENSCSAVG00000005200	ciona_savignyi
ENSCINP00000022519	ENSCING00000011899	ciona_intestinalis
ENSCINP00000025213	ENSCING00000003233	ciona_intestinalis
ENSCSAVP00000019951	ENSCSAVG00000011709	ciona_savignyi
ENSCSAVP00000019931	ENSCSAVG00000011704	ciona_savignyi
ENSCINP00000002487	ENSCING00000005864	ciona_intestinalis
ENSCINP00000025214	ENSCING00000002625	ciona_intestinalis
ENSCSAVP00000020005	ENSCSAVG00000011742	ciona_savignyi
ENSOTSP00005080666	ENSOTSG00005037953	oncorhynchus_tshawytscha
