C01G6.8a.1	WBGene00000289	caenorhabditis_elegans
FBpp0079568	FBgn0010407	drosophila_melanogaster
ENSCSAVP00000005229	ENSCSAVG00000003113	ciona_savignyi
ENSCINP00000013382	ENSCING00000006519	ciona_intestinalis
ENSCINP00000006994	ENSCING00000003415	ciona_intestinalis
ENSCSAVP00000013377	ENSCSAVG00000007846	ciona_savignyi
ENSCINP00000031756	ENSCING00000021725	ciona_intestinalis
ENSCINP00000007007	ENSCING00000024813	ciona_intestinalis
ENSOTSP00005031122	ENSOTSG00005014643	oncorhynchus_tshawytscha
ENSEEEP00000014391	ENSEEEG00000007161	electrophorus_electricus
ENSEGOP00005011488	ENSEGOG00005008981	erythrura_gouldiae
ENSGFOP00000020092	ENSGFOG00000013469	geospiza_fortis
ENSUAMP00000011236	ENSUAMG00000009200	ursus_americanus
ENSMUGP00000013967	ENSMUGG00000012100	meriones_unguiculatus
