ENSLLEP00000008337	ENSLLEG00000005292	leptobrachium_leishanense
ENSPCEP00000013487	ENSPCEG00000010674	pelusios_castaneus
ENSCSRP00000016210	ENSCSRG00000012432	chelydra_serpentina
ENSGEVP00005018915	ENSGEVG00005013298	gopherus_evgoodei
ENSGAGP00000003968	ENSGAGG00000003249	gopherus_agassizii
ENSCABP00000012828	ENSCABG00000009593	chelonoidis_abingdonii
ENSTMTP00000009111	ENSTMTG00000006644	terrapene_carolina_triunguis
ENSCPBP00000017576	ENSCPBG00000012873	chrysemys_picta_bellii
ENSPSIP00000014348	ENSPSIG00000012614	pelodiscus_sinensis
ENSCPRP00005001272	ENSCPRG00005000973	crocodylus_porosus
ENSCJPP00005021250	ENSCJPG00005017010	coturnix_japonica
ENSMGAP00000015033	ENSMGAG00000014203	meleagris_gallopavo
ENSCPIP00010001134	ENSCPIG00010000878	chrysolophus_pictus
ENSPCLP00000016362	ENSPCLG00000013316	phasianus_colchicus
ENSGALP00000023737	ENSGALG00000014749	gallus_gallus
ENSNMEP00000019194	ENSNMEG00000016595	numida_meleagris
ENSCMMP00000014453	ENSCMMG00000009223	cairina_moschata_domestica
ENSAZOP00000023494	ENSAZOG00000015179	anas_zonorhyncha
ENSAPLP00000006617	ENSAPLG00000006930	anas_platyrhynchos_platyrhynchos
ENSAPLP00020000654	ENSAPLG00020000425	anas_platyrhynchos
ENSABRP00000024677	ENSABRG00000020740	anser_brachyrhynchus
ENSACDP00005010198	ENSACDG00005007443	anser_cygnoides
ENSACUP00000007135	ENSACUG00000004887	athene_cunicularia
ENSPSTP00000020044	ENSPSTG00000014538	pavo_cristatus
ENSMCSP00000000228	ENSMCSG00000000209	malurus_cyaneus_samueli
ENSMCSP00000006139	ENSMCSG00000004444	malurus_cyaneus_samueli
ENSCMUP00000008400	ENSCMUG00000005429	corvus_moneduloides
ENSEGOP00005017857	ENSEGOG00005014335	erythrura_gouldiae
ENSLSDP00000017423	ENSLSDG00000012479	lonchura_striata_domestica
ENSTGUP00000031447	ENSTGUG00000013187	taeniopygia_guttata
ENSFALP00000004643	ENSFALG00000004417	ficedula_albicollis
ENSSCAP00000021037	ENSSCAG00000015160	serinus_canaria
