ENSGMOP00000016269	ENSGMOG00000015203	gadus_morhua
ENSSFAP00005049051	ENSSFAG00005023710	salarias_fasciatus
ENSTNIP00000015681	ENSTNIG00000012706	tetraodon_nigroviridis
ENSTRUP00000048526	ENSTRUG00000022468	takifugu_rubripes
ENSHCOP00000026651	ENSHCOG00000017767	hippocampus_comes
ENSLCAP00010027062	ENSLCAG00010012686	lates_calcarifer
ENSCSEP00000025759	ENSCSEG00000016456	cynoglossus_semilaevis
ENSSMAP00000023731	ENSSMAG00000014496	scophthalmus_maximus
ENSSDUP00000020311	ENSSDUG00000014776	seriola_dumerili
ENSBSLP00000001438	ENSBSLG00000000911	betta_splendens
ENSATEP00000015470	ENSATEG00000010746	anabas_testudineus
ENSMAMP00000001129	ENSMAMG00000000808	mastacembelus_armatus
ENSLBEP00000022707	ENSLBEG00000017422	labrus_bergylta
ENSSAUP00010006539	ENSSAUG00010003325	sparus_aurata
ENSSLUP00000048373	ENSSLUG00000021188	sander_lucioperca
ENSCGOP00000028033	ENSCGOG00000013183	cottoperca_gobio
ENSGACP00000004045	ENSGACG00000003090	gasterosteus_aculeatus
ENSGACP00000004047	ENSGACG00000003094	gasterosteus_aculeatus
ENSCLMP00005047566	ENSCLMG00005021814	cyclopterus_lumpus
ENSPRNP00000056098	ENSPRNG00000026247	parambassis_ranga
ENSSPAP00000019678	ENSSPAG00000014844	stegastes_partitus
ENSAPOP00000034765	ENSAPOG00000024259	acanthochromis_polyacanthus
ENSAPEP00000028270	ENSAPEG00000020068	amphiprion_percula
ENSAOCP00000013398	ENSAOCG00000017941	amphiprion_ocellaris
ENSONIP00000036848	ENSONIG00000028459	oreochromis_niloticus
ENSHBUP00000032207	ENSHBUG00000018369	haplochromis_burtoni
ENSSORP00005017841	ENSSORG00005008878	sphaeramia_orbicularis
ENSPMGP00000029528	ENSPMGG00000023763	periophthalmus_magnuspinnatus
ENSNMLP00000012569	ENSNMLG00000008532	neogobius_melanostomus
ENSORLP00000044577	ENSORLG00000022644	oryzias_latipes
ENSORLP00015013434	ENSORLG00015014325	oryzias_latipes_hsok
ENSOMEP00000006649	ENSOMEG00000007697	oryzias_melastigma
ENSOJAP00000041063	ENSOJAG00000020262	oryzias_javanicus
ENSMALP00000031743	ENSMALG00000021906	monopterus_albus
ENSKMAP00000011787	ENSKMAG00000008881	kryptolebias_marmoratus
ENSCVAP00000030249	ENSCVAG00000018642	cyprinodon_variegatus
ENSXMAP00000037650	ENSXMAG00000026989	xiphophorus_maculatus
ENSPFOP00000028037	ENSPFOG00000023223	poecilia_formosa
ENSPREP00000028903	ENSPREG00000019544	poecilia_reticulata
ENSGAFP00000010552	ENSGAFG00000007133	gambusia_affinis
ENSFHEP00000014968	ENSFHEG00000016549	fundulus_heteroclitus
ENSACIP00000028372	ENSACIG00000021981	amphilophus_citrinellus
ENSGWIP00000032456	ENSGWIG00000016714	gouania_willdenowi
ENSOKIP00005051394	ENSOKIG00005021723	oncorhynchus_kisutch
ENSHHUP00000069882	ENSHHUG00000041131	hucho_hucho
ENSSSAP00000019239	ENSSSAG00000009390	salmo_salar
ENSSTUP00000031862	ENSSTUG00000013713	salmo_trutta
ENSHHUP00000057855	ENSHHUG00000034453	hucho_hucho
ENSELUP00000061129	ENSELUG00000014227	esox_lucius
ENSDCDP00000036170	ENSDCDG00000024074	denticeps_clupeoides
ENSAMXP00005032547	ENSAMXG00005015850	astyanax_mexicanus_pachon
ENSAMXP00000014803	ENSAMXG00000014377	astyanax_mexicanus
ENSPNAP00000035385	ENSPNAG00000025336	pygocentrus_nattereri
ENSIPUP00000014414	ENSIPUG00000009837	ictalurus_punctatus
ENSCCRP00015063057	ENSCCRG00015025749	cyprinus_carpio_huanghe
ENSCCRP00020103873	ENSCCRG00020047462	cyprinus_carpio_hebaored
ENSCCRP00010007682	ENSCCRG00010003254	cyprinus_carpio_germanmirror
ENSCARP00000031308	ENSCARG00000013815	carassius_auratus
ENSSGRP00000092927	ENSSGRG00000046530	sinocyclocheilus_grahami
ENSCCRP00015054939	ENSCCRG00015022618	cyprinus_carpio_huanghe
ENSCCRP00010095422	ENSCCRG00010041777	cyprinus_carpio_germanmirror
ENSCCRP00020030764	ENSCCRG00020013928	cyprinus_carpio_hebaored
ENSDARP00000075800	ENSDARG00000058503	danio_rerio
