MGP_SPRETEiJ_P0082952	MGP_SPRETEiJ_G0030842	mus_spretus
ENSODEP00000024052	ENSODEG00000017598	octodon_degus
ENSUTTP00000027507	ENSUTTG00000017540	ursus_thibetanus_thibetanus
ENSTNIP00000010909	ENSTNIG00000008084	tetraodon_nigroviridis
ENSLOCP00000000334	ENSLOCG00000000307	lepisosteus_oculatus
