ENSECRP00000021110	ENSECRG00000014164	erpetoichthys_calabaricus
ENSCHAP00000017398	ENSCHAG00000008454	clupea_harengus
ENSDCDP00000063120	ENSDCDG00000035619	denticeps_clupeoides
ENSELUP00000042978	ENSELUG00000024474	esox_lucius
ENSHHUP00000026202	ENSHHUG00000016586	hucho_hucho
ENSSTUP00000089820	ENSSTUG00000039175	salmo_trutta
ENSSSAP00000006310	ENSSSAG00000003134	salmo_salar
ENSOKIP00005087320	ENSOKIG00005038087	oncorhynchus_kisutch
ENSOTSP00005033959	ENSOTSG00005016000	oncorhynchus_tshawytscha
ENSOMYP00000104967	ENSOMYG00000047089	oncorhynchus_mykiss
ENSSSAP00000068411	ENSSSAG00000061309	salmo_salar
ENSSORP00005044779	ENSSORG00005020597	sphaeramia_orbicularis
ENSBSLP00000039814	ENSBSLG00000019333	betta_splendens
ENSATEP00000020269	ENSATEG00000014102	anabas_testudineus
ENSMAMP00000018976	ENSMAMG00000012776	mastacembelus_armatus
ENSMALP00000005720	ENSMALG00000004054	monopterus_albus
ENSSLDP00000028191	ENSSLDG00000021837	seriola_lalandi_dorsalis
ENSSDUP00000032334	ENSSDUG00000023226	seriola_dumerili
ENSENLP00000006885	ENSENLG00000003250	echeneis_naucrates
ENSLCAP00010033024	ENSLCAG00010015546	lates_calcarifer
ENSSMAP00000026402	ENSSMAG00000016147	scophthalmus_maximus
ENSPLAP00000001507	ENSPLAG00000002576	poecilia_latipinna
ENSPFOP00000019015	ENSPFOG00000018851	poecilia_formosa
ENSPMEP00000020658	ENSPMEG00000023828	poecilia_mexicana
ENSPREP00000005188	ENSPREG00000003632	poecilia_reticulata
ENSGAFP00000032706	ENSGAFG00000022028	gambusia_affinis
ENSXCOP00000024152	ENSXCOG00000018027	xiphophorus_couchianus
ENSXMAP00000006447	ENSXMAG00000006394	xiphophorus_maculatus
ENSCVAP00000013242	ENSCVAG00000015714	cyprinodon_variegatus
ENSFHEP00000030929	ENSFHEG00000016512	fundulus_heteroclitus
ENSKMAP00000007864	ENSKMAG00000005876	kryptolebias_marmoratus
ENSOSIP00000010821	ENSOSIG00000006576	oryzias_sinensis
ENSORLP00000038741	ENSORLG00000012831	oryzias_latipes
ENSORLP00015034651	ENSORLG00015020736	oryzias_latipes_hsok
ENSORLP00020012719	ENSORLG00020013652	oryzias_latipes_hni
ENSOJAP00000011221	ENSOJAG00000006008	oryzias_javanicus
ENSMZEP00005033417	ENSMZEG00005024947	maylandia_zebra
ENSACLP00000002375	ENSACLG00000001648	astatotilapia_calliptera
ENSHBUP00000003026	ENSHBUG00000004265	haplochromis_burtoni
ENSONIP00000022414	ENSONIG00000017780	oreochromis_niloticus
ENSOABP00000010472	ENSOABG00000005513	oreochromis_aureus
ENSNBRP00000030588	ENSNBRG00000023208	neolamprologus_brichardi
ENSACIP00000029927	ENSACIG00000023145	amphilophus_citrinellus
ENSPRNP00000005362	ENSPRNG00000003153	parambassis_ranga
ENSAPOP00000014132	ENSAPOG00000016970	acanthochromis_polyacanthus
ENSAPEP00000004787	ENSAPEG00000003360	amphiprion_percula
ENSAOCP00000027136	ENSAOCG00000015874	amphiprion_ocellaris
ENSSPAP00000016641	ENSSPAG00000012514	stegastes_partitus
ENSSFAP00005003804	ENSSFAG00005002596	salarias_fasciatus
ENSSFAP00005003810	ENSSFAG00005002602	salarias_fasciatus
ENSCLMP00005011141	ENSCLMG00005006082	cyclopterus_lumpus
ENSSLUP00000023292	ENSSLUG00000010692	sander_lucioperca
ENSCGOP00000026877	ENSCGOG00000012646	cottoperca_gobio
ENSDLAP00005010261	ENSDLAG00005005358	dicentrarchus_labrax
ENSLBEP00000000278	ENSLBEG00000000225	labrus_bergylta
ENSLBEP00000023602	ENSLBEG00000018115	labrus_bergylta
ENSTNIP00000010424	ENSTNIG00000007610	tetraodon_nigroviridis
ENSTNIP00000010449	ENSTNIG00000007634	tetraodon_nigroviridis
ENSTRUP00000011257	ENSTRUG00000004733	takifugu_rubripes
ENSMMOP00000022829	ENSMMOG00000017359	mola_mola
ENSSAUP00010003047	ENSSAUG00010001559	sparus_aurata
ENSCSEP00000010577	ENSCSEG00000006787	cynoglossus_semilaevis
ENSELUP00000016890	ENSELUG00000016639	esox_lucius
ENSHHUP00000019385	ENSHHUG00000012128	hucho_hucho
ENSOKIP00005107645	ENSOKIG00005047175	oncorhynchus_kisutch
ENSOTSP00005064515	ENSOTSG00005030813	oncorhynchus_tshawytscha
ENSOMYP00000057033	ENSOMYG00000026317	oncorhynchus_mykiss
ENSSTUP00000006327	ENSSTUG00000003118	salmo_trutta
ENSSSAP00000008112	ENSSSAG00000003963	salmo_salar
ENSSSAP00000045240	ENSSSAG00000046918	salmo_salar
ENSSTUP00000014348	ENSSTUG00000006606	salmo_trutta
ENSOTSP00005045788	ENSOTSG00005022225	oncorhynchus_tshawytscha
ENSOKIP00005030423	ENSOKIG00005013066	oncorhynchus_kisutch
ENSOMYP00000019774	ENSOMYG00000009566	oncorhynchus_mykiss
ENSHHUP00000019673	ENSHHUG00000012270	hucho_hucho
ENSHCOP00000013337	ENSHCOG00000016508	hippocampus_comes
ENSPMGP00000021735	ENSPMGG00000017589	periophthalmus_magnuspinnatus
ENSNMLP00000033575	ENSNMLG00000020992	neogobius_melanostomus
ENSBSLP00000037477	ENSBSLG00000018102	betta_splendens
ENSSFAP00005047575	ENSSFAG00005023133	salarias_fasciatus
ENSSORP00005008859	ENSSORG00005004879	sphaeramia_orbicularis
ENSSPAP00000001383	ENSSPAG00000000943	stegastes_partitus
ENSAOCP00000004107	ENSAOCG00000000405	amphiprion_ocellaris
ENSAPEP00000023029	ENSAPEG00000016406	amphiprion_percula
ENSAPOP00000008486	ENSAPOG00000010606	acanthochromis_polyacanthus
ENSGWIP00000006530	ENSGWIG00000003791	gouania_willdenowi
ENSPRNP00000026729	ENSPRNG00000013419	parambassis_ranga
ENSACIP00000020852	ENSACIG00000016124	amphilophus_citrinellus
ENSACLP00000013202	ENSACLG00000009008	astatotilapia_calliptera
ENSMZEP00005017486	ENSMZEG00005013152	maylandia_zebra
ENSHBUP00000022724	ENSHBUG00000003121	haplochromis_burtoni
ENSPNYP00000000690	ENSPNYG00000000549	pundamilia_nyererei
ENSOABP00000056821	ENSOABG00000025030	oreochromis_aureus
